approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches
PyGenProg,middle,1,1,sequential,B,0,0,1,10,11,11,1.258711814880371,277.3252685070038,161.62561225891113,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,2.020815849304199,413.30578327178955,235.5747847557068,0.09090909090909091,0.0,0.0,0.0,0.5,14
PyGenProg,middle,1,1,sequential,F,5,5,1,10,10,11,3.26985502243042,307.4407391548157,156.26376390457153,0.9890909090909091,0.8928571428571429,1.0,0.9433962264150945,0.94,21
PyGenProg,middle,1,1,sequential,F,10,10,1,10,20,11,2.7299580574035645,329.147084236145,251.2333266735077,0.09090909090909091,0.0,0.0,0.0,0.5,21
PyGenProg,middle,1,1,sequential,F,30,30,1,10,60,11,3.515498161315918,380.60683584213257,280.129513502121,0.09090909090909091,0.0,0.0,0.0,0.5,19
PyGenProg,middle,1,1,sequential,F,50,50,1,10,100,11,5.510791778564453,380.52301263809204,212.65281176567078,0.09090909090909091,0.0,0.0,0.0,0.5,21
PyGenProg,middle,1,10,sequential,F,5,5,1,10,10,11,4.008243560791016,519.8793678283691,332.243106842041,0.09090909090909091,0.0,0.0,0.0,0.5,27
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,3.7145450115203857,530.4990029335022,382.9674777984619,0.09090909090909091,0.0,0.0,0.0,0.5,28
PyGenProg,middle,1,10,sequential,F,30,30,1,10,60,11,2.5640368461608887,799.0875389575958,322.59528160095215,0.09090909090909091,0.0,0.0,0.0,0.5,28
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,3.006436824798584,533.655632019043,334.47711157798767,0.09090909090909091,0.0,0.0,0.0,0.5,28
PyGenProg,middle,1,1,sequential,V,5,5,1,10,11,10,2.87431263923645,363.55662965774536,267.51697540283203,0.09090909090909091,0.0,0.0,0.0,0.5,26
PyGenProg,middle,1,1,sequential,V,10,10,1,10,11,20,3.1399335861206055,374.46681785583496,319.7567331790924,0.09090909090909091,0.0,0.0,0.0,0.5,23
PyGenProg,middle,1,1,sequential,V,30,30,1,10,11,60,3.767167091369629,475.2471835613251,344.9266755580902,0.09090909090909091,0.0,0.0,0.0,0.5,23
PyGenProg,middle,1,1,sequential,V,50,50,1,10,11,100,4.452216148376465,384.70773220062256,319.8210914134979,0.09090909090909091,0.0,0.0,0.0,0.5,23
PyGenProg,middle,1,10,sequential,V,5,5,1,10,11,10,2.8948774337768555,422.793479681015,313.6353063583374,0.09090909090909091,0.0,0.0,0.0,0.5,28
PyGenProg,middle,1,10,sequential,V,10,10,1,10,11,20,4.454376459121704,450.3742473125458,321.06795477867126,0.09090909090909091,0.0,0.0,0.0,0.5,28
PyGenProg,middle,1,10,sequential,V,30,30,1,10,11,60,2.7794189453125,698.0366072654724,308.67867064476013,0.09090909090909091,0.0,0.0,0.0,0.5,27
PyGenProg,middle,1,10,sequential,V,50,50,1,10,11,100,2.507129192352295,699.1928794384003,386.26731300354004,0.09090909090909091,0.0,0.0,0.0,0.5,28
PyGenProg,middle,1,1,sequential,C,5,5,0,0,10,10,1.4164190292358398,370.2816572189331,230.31660103797913,0.09090909090909091,0.0,0.0,0.0,0.5,10
PyGenProg,middle,1,1,sequential,C,10,10,0,0,20,20,1.2830078601837158,648.4777603149414,297.9049060344696,0.09090909090909091,0.0,0.0,0.0,0.5,7
PyGenProg,middle,1,1,sequential,C,30,30,0,0,60,60,2.312546491622925,509.7581207752228,174.83984279632568,0.09090909090909091,0.0,0.0,0.0,0.5,5
PyGenProg,middle,1,1,sequential,C,50,50,0,0,100,100,1.5312213897705078,631.7117657661438,217.4731376171112,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,1,10,sequential,C,5,5,0,0,10,10,1.3963356018066406,527.1602175235748,274.2284052371979,0.09090909090909091,0.0,0.0,0.0,0.5,16
PyGenProg,middle,1,10,sequential,C,10,10,0,0,20,20,3.6205978393554688,518.0012063980103,462.66608333587646,0.09090909090909091,,,,,17
PyGenProg,middle,1,10,sequential,C,30,30,0,0,60,60,1.7762138843536377,712.3027968406677,239.34217357635498,0.09090909090909091,,,,,13
PyGenProg,middle,1,10,sequential,C,50,50,0,0,100,100,1.7485179901123047,866.3290936946869,206.6378674507141,0.09090909090909091,0.0,0.0,0.0,0.5,5
PyGenProg,middle,2,1,sequential,B,0,0,1,10,11,11,1.4596478939056396,292.0462098121643,107.9415910243988,0.09090909090909091,0.0,0.0,0.0,0.5,4
PyGenProg,middle,2,10,sequential,B,0,0,1,10,11,11,1.6541659832000732,325.9590530395508,107.33805727958679,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1
PyGenProg,middle,2,1,sequential,F,5,5,1,10,10,11,4.111595869064331,250.55982303619385,133.10931754112244,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,10
PyGenProg,middle,2,1,sequential,F,10,10,1,10,20,11,4.354114294052124,218.6181252002716,100.24947261810303,0.09090909090909091,0.0,0.0,0.0,0.5,10
PyGenProg,middle,2,1,sequential,F,30,30,1,10,60,11,3.5623629093170166,227.2265477180481,97.28220582008362,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,10
PyGenProg,middle,2,1,sequential,F,50,50,1,10,100,11,4.50872015953064,231.25016808509827,99.6866934299469,0.09090909090909091,0.0,0.0,0.0,0.5,10
PyGenProg,middle,2,10,sequential,F,5,5,1,10,10,11,3.0518784523010254,290.9305565357208,105.15389823913574,0.09090909090909091,0.0,0.0,0.0,0.5,10
PyGenProg,middle,2,10,sequential,F,10,10,1,10,20,11,3.136559009552002,258.3487536907196,99.0735764503479,0.09090909090909091,0.0,0.0,0.0,0.5,10
PyGenProg,middle,2,10,sequential,F,30,30,1,10,60,11,2.9317235946655273,306.99957370758057,97.38008832931519,0.09090909090909091,0.0,0.0,0.0,0.5,10
PyGenProg,middle,2,10,sequential,F,50,50,1,10,100,11,3.9537150859832764,287.5698003768921,130.0472195148468,0.09090909090909091,0.0,0.0,0.0,0.5,10
PyGenProg,middle,2,1,sequential,V,5,5,1,10,11,10,5.008896589279175,246.50299382209778,88.27046060562134,0.94,0.6024096385542169,1.0,0.7518796992481204,0.67,7
PyGenProg,middle,2,1,sequential,V,10,10,1,10,11,20,3.5989065170288086,218.2883083820343,89.2180917263031,0.94,0.6024096385542169,1.0,0.7518796992481204,0.67,7
PyGenProg,middle,2,1,sequential,V,30,30,1,10,11,60,3.2356903553009033,323.78366708755493,112.08268642425537,0.94,0.6024096385542169,1.0,0.7518796992481204,0.67,7
PyGenProg,middle,2,1,sequential,V,50,50,1,10,11,100,7.879985570907593,249.61084818840027,86.74931001663208,0.94,0.6024096385542169,1.0,0.7518796992481204,0.67,7
PyGenProg,middle,2,10,sequential,V,5,5,1,10,11,10,3.149890899658203,278.31102180480957,106.73404932022095,0.09090909090909091,0.0,0.0,0.0,0.5,10
PyGenProg,middle,2,10,sequential,V,10,10,1,10,11,20,3.2562737464904785,298.73684310913086,93.71721935272217,0.09090909090909091,0.0,0.0,0.0,0.5,10
PyGenProg,middle,2,10,sequential,V,30,30,1,10,11,60,2.472607374191284,289.8387372493744,102.33033728599548,0.09090909090909091,0.0,0.0,0.0,0.5,10
PyGenProg,middle,2,10,sequential,V,50,50,1,10,11,100,3.329893112182617,352.0721549987793,105.87990593910217,0.09090909090909091,0.0,0.0,0.0,0.5,10
PyGenProg,middle,2,1,sequential,C,5,5,0,0,10,10,2.323364496231079,271.04095554351807,81.00798058509827,0.09090909090909091,0.0,0.0,0.0,0.5,5
PyGenProg,middle,2,1,sequential,C,10,10,0,0,20,20,1.3349616527557373,219.41903948783875,80.38861131668091,0.09090909090909091,0.0,0.0,0.0,0.5,5
PyGenProg,middle,2,1,sequential,C,30,30,0,0,60,60,1.5096313953399658,239.33744192123413,67.73774266242981,0.09090909090909091,0.0,0.0,0.0,0.5,2
PyGenProg,middle,2,1,sequential,C,50,50,0,0,100,100,1.5806176662445068,239.43031215667725,74.26013517379761,0.09090909090909091,0.0,0.0,0.0,0.5,2
PyGenProg,middle,2,10,sequential,C,5,5,0,0,10,10,1.525831937789917,409.07922554016113,74.81000566482544,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1
PyGenProg,middle,2,10,sequential,C,10,10,0,0,20,20,1.3455109596252441,262.95672035217285,69.19162654876709,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1
PyGenProg,middle,2,10,sequential,C,30,30,0,0,60,60,1.4030508995056152,288.22840762138367,71.85580587387085,0.9818181818181818,,,,,3
PyGenProg,middle,2,10,sequential,C,50,50,0,0,100,100,1.9616711139678955,323.2115569114685,62.84225535392761,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1
PyGenProg,calculator,1,1,sequential,B,0,0,1,10,11,11,1.3261196613311768,289.33247423171997,104.63765931129456,0.09090909090909091,0.0,0.0,0.0,0.5,3
PyGenProg,calculator,1,10,sequential,B,0,0,1,10,11,11,2.10428524017334,633.9408719539642,629.0866858959198,0.09090909090909091,0.0,0.0,0.0,0.5,15
PyGenProg,calculator,1,1,sequential,F,5,5,1,10,10,11,3.871204137802124,289.7585949897766,341.4633102416992,0.09090909090909091,0.0,0.0,0.0,0.0,17
PyGenProg,calculator,1,1,sequential,F,10,10,1,10,20,11,4.0337605476379395,306.22973465919495,598.7023797035217,0.09090909090909091,0.0,0.0,0.0,0.5,16
PyGenProg,calculator,1,1,sequential,F,30,30,1,10,60,11,3.9879233837127686,411.49025654792786,115.26766896247864,0.09090909090909091,0.0,0.0,0.0,0.5,16
PyGenProg,calculator,1,1,sequential,F,50,50,1,10,100,11,5.767439365386963,325.5387032032013,333.73902201652527,0.09090909090909091,0.0,0.0,0.0,0.5,18
PyGenProg,calculator,1,10,sequential,F,5,5,1,10,10,11,3.7858619689941406,377.41826725006104,347.3986041545868,0.09090909090909091,0.0,0.0,0.0,0.5,17
PyGenProg,calculator,1,10,sequential,F,10,10,1,10,20,11,3.3590848445892334,367.6392652988434,348.2262499332428,0.09090909090909091,0.0,0.0,0.0,0.5,17
PyGenProg,calculator,1,10,sequential,F,30,30,1,10,60,11,3.13407039642334,349.08723425865173,323.5831003189087,0.09090909090909091,0.0,0.0,0.0,0.5,17
PyGenProg,calculator,1,10,sequential,F,50,50,1,10,100,11,4.85156512260437,444.8691895008087,345.9469430446625,0.09090909090909091,0.0,0.0,0.0,0.5,17
