approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches
PyGenProg,middle,1,1,sequential,B,0,0,1,10,11,11,1.749194860458374,255.74725937843323,166.99088644981384,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,1,1,sequential,F,5,5,1,10,10,11,1.604787826538086,307.13860058784485,208.32051515579224,0.09090909090909091,0.0,0.0,0.0,0.5,20
PyGenProg,middle,1,1,sequential,F,10,10,1,10,20,11,1.517796277999878,299.3915317058563,207.30907535552979,0.09090909090909091,0.0,0.0,0.0,0.5,20
PyGenProg,middle,1,1,sequential,F,30,30,1,10,60,11,1.3399970531463623,338.76760387420654,230.48762965202332,0.09090909090909091,0.0,0.0,0.0,0.5,25
PyGenProg,middle,1,1,sequential,F,50,50,1,10,100,11,1.4023244380950928,351.68449807167053,263.60311913490295,0.09090909090909091,0.0,0.0,0.0,0.5,27
PyGenProg,middle,1,1,sequential,V,5,5,1,10,11,10,1.8412718772888184,222.875638961792,211.66868925094604,0.09090909090909091,0.0,0.0,0.0,0.5,12
PyGenProg,middle,1,1,sequential,V,10,10,1,10,11,20,1.5818989276885986,239.08249473571777,212.62954807281494,0.09090909090909091,0.0,0.0,0.0,0.5,12
PyGenProg,middle,1,1,sequential,V,30,30,1,10,11,60,1.4284207820892334,245.8410360813141,225.574725151062,0.09090909090909091,0.0,0.0,0.0,0.5,12
PyGenProg,middle,1,1,sequential,V,50,50,1,10,11,100,1.7278213500976562,272.32482147216797,213.92933678627014,0.09090909090909091,0.0,0.0,0.0,0.5,12
PyGenProg,middle,1,1,sequential,C,5,5,0,0,10,10,1.3750126361846924,278.0085971355438,140.64396834373474,0.09090909090909091,0.0,0.0,0.0,0.5,4
PyGenProg,middle,1,1,sequential,C,10,10,0,0,20,20,1.403508186340332,325.5881333351135,256.7969460487366,0.09090909090909091,0.0,0.0,0.0,0.5,7
PyGenProg,middle,1,1,sequential,C,30,30,0,0,60,60,1.8868138790130615,413.1858973503113,96.37418127059937,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,1
PyGenProg,middle,1,1,sequential,C,50,50,0,0,100,100,1.8101050853729248,427.8739218711853,247.68891024589539,0.09090909090909091,0.0,0.0,0.0,0.5,7
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,1.8213474750518799,761.7173883914948,374.4679253101349,0.09090909090909091,0.0,0.0,0.0,0.5,13
PyGenProg,middle,1,10,sequential,F,5,5,1,10,10,11,1.7929036617279053,526.8349380493164,308.72331070899963,0.09090909090909091,0.0,0.0,0.0,0.5,23
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,1.3566057682037354,514.1286845207214,404.53593397140503,0.09090909090909091,0.0,0.0,0.0,0.5,23
PyGenProg,middle,1,10,sequential,F,30,30,1,10,60,11,1.9115543365478516,561.648421049118,414.1129276752472,0.09090909090909091,0.0,0.0,0.0,0.5,26
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,1.3362703323364258,486.0452878475189,349.9354953765869,0.09090909090909091,0.0,0.0,0.0,0.5,25
PyGenProg,middle,1,10,sequential,V,5,5,1,10,11,10,2.6877219676971436,539.173898935318,390.80455231666565,0.09090909090909091,0.0,0.0,0.0,0.5,19
PyGenProg,middle,1,10,sequential,V,10,10,1,10,11,20,3.0273919105529785,473.5350182056427,356.97354769706726,0.09090909090909091,0.0,0.0,0.0,0.5,19
PyGenProg,middle,1,10,sequential,V,30,30,1,10,11,60,1.877218246459961,693.5630302429199,377.23768281936646,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,19
PyGenProg,middle,1,10,sequential,V,50,50,1,10,11,100,2.0413601398468018,680.90194272995,261.205774307251,0.09090909090909091,0.0,0.0,0.0,0.5,19
PyGenProg,middle,1,10,sequential,C,5,5,0,0,10,10,1.2539002895355225,376.3470869064331,77.9133186340332,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1
PyGenProg,middle,1,10,sequential,C,10,10,0,0,20,20,1.2714757919311523,687.7768557071686,65.66439628601074,0.07272727272727272,0.0,0.0,0.0,0.4,1
PyGenProg,middle,1,10,sequential,C,30,30,0,0,60,60,1.2121567726135254,581.9771330356598,84.80863642692566,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1
PyGenProg,middle,1,10,sequential,C,50,50,0,0,100,100,1.5928056240081787,692.8890993595123,154.6452202796936,0.09090909090909091,0.0,0.0,0.0,0.5,5
PyGenProg,middle,2,1,sequential,B,0,0,1,10,11,11,1.4514684677124023,211.43542337417603,91.21767926216125,0.09090909090909091,0.0,0.0,0.0,0.5,4
PyGenProg,middle,2,1,sequential,F,5,5,1,10,10,11,1.4606382846832275,195.13860726356506,94.37161183357239,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,2,1,sequential,F,10,10,1,10,20,11,1.9779553413391113,186.15800595283508,86.48028516769409,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,2,1,sequential,F,30,30,1,10,60,11,1.3766250610351562,203.46595549583435,93.1169159412384,0.09090909090909091,0.0,0.0,0.0,0.5,8
PyGenProg,middle,2,1,sequential,F,50,50,1,10,100,11,1.4606738090515137,205.1284728050232,95.14976239204407,0.09090909090909091,0.0,0.0,0.0,0.5,8
PyGenProg,middle,2,1,sequential,V,5,5,1,10,11,10,1.93436598777771,237.86669850349426,115.52280569076538,0.09090909090909091,0.0,0.0,0.0,0.5,10
PyGenProg,middle,2,1,sequential,V,10,10,1,10,11,20,1.473895788192749,308.8346495628357,125.33047771453857,0.09090909090909091,0.0,0.0,0.0,0.5,10
PyGenProg,middle,2,1,sequential,V,30,30,1,10,11,60,1.8509647846221924,312.14334201812744,104.89352703094482,0.09090909090909091,0.0,0.0,0.0,0.5,10
PyGenProg,middle,2,1,sequential,V,50,50,1,10,11,100,1.4551827907562256,243.98196506500244,114.57550644874573,0.09090909090909091,0.0,0.0,0.0,0.5,10
PyGenProg,middle,2,1,sequential,C,5,5,0,0,10,10,1.4175467491149902,207.40124082565308,95.36744785308838,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,2,1,sequential,C,10,10,0,0,20,20,1.3817553520202637,207.6693456172943,85.33171248435974,0.09090909090909091,0.0,0.0,0.0,0.5,6
