approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches,generations
PyGenProg,middle,1,10,sequential,B,0,0,1,1,2,2,0.7069017887115479,178.34573531150818,17.836251974105835,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,1,10
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,0.704268217086792,194.59005689620972,17.43761897087097,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,4,10
PyGenProg,middle,1,10,sequential,F,5,5,1,10,10,11,0.7191269397735596,101.87088108062744,17.46363401412964,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,0.6327605247497559,99.80917453765869,17.557514905929565,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,1,10,sequential,F,30,30,1,10,60,11,0.6167383193969727,101.65601873397827,17.51362180709839,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,0.6824324131011963,104.41902709007263,17.67357063293457,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,1,10,sequential,V,5,5,1,10,11,10,0.6655945777893066,204.93081665039062,17.41211462020874,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,21,10
PyGenProg,middle,1,10,sequential,V,10,10,1,10,11,20,0.8198227882385254,215.00654649734497,73.17390394210815,0.09090909090909091,0.0,0.0,0.0,0.5,15,10
PyGenProg,middle,1,10,sequential,V,30,30,1,10,11,60,0.7137374877929688,245.38416981697083,41.09119534492493,0.09090909090909091,0.0,0.0,0.0,0.5,5,10
PyGenProg,middle,1,10,sequential,V,50,50,1,10,11,100,0.7551395893096924,322.33568692207336,17.14072060585022,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,2,10
PyGenProg,middle,1,10,sequential,C,5,5,0,0,10,10,0.6428940296173096,95.92996191978455,17.45015239715576,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,1,10,sequential,C,10,10,0,0,20,20,0.6134512424468994,101.75339818000793,17.40903067588806,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,1,10,sequential,C,30,30,0,0,60,60,0.6383655071258545,124.6446213722229,17.79663896560669,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,1,10,sequential,C,50,50,0,0,100,100,0.6970067024230957,145.43071126937866,17.134671688079834,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,2,10,sequential,B,0,0,1,1,2,2,0.6656370162963867,177.44586372375488,14.16466236114502,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,43,10
PyGenProg,middle,2,10,sequential,B,0,0,1,10,11,11,0.6870250701904297,116.33273935317993,12.756990671157837,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,3
PyGenProg,middle,2,10,sequential,F,5,5,1,10,10,11,0.6870710849761963,85.4745192527771,13.194019794464111,1.0,1.0,1.0,1.0,1.0,1,4
PyGenProg,middle,2,10,sequential,F,10,10,1,10,20,11,0.636967658996582,85.45795941352844,13.732629776000977,1.0,1.0,1.0,1.0,1.0,1,4
PyGenProg,middle,2,10,sequential,F,30,30,1,10,60,11,0.5995726585388184,90.79358839988708,13.577203273773193,1.0,1.0,1.0,1.0,1.0,1,4
PyGenProg,middle,2,10,sequential,F,50,50,1,10,100,11,0.6852245330810547,89.89613080024719,12.826387882232666,1.0,1.0,1.0,1.0,1.0,1,4
PyGenProg,middle,2,10,sequential,V,5,5,1,10,11,10,0.6041302680969238,128.63342666625977,12.886099100112915,1.0,1.0,1.0,1.0,1.0,1,5
PyGenProg,middle,2,10,sequential,V,10,10,1,10,11,20,0.6550512313842773,190.29532265663147,12.64090609550476,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,17,10
PyGenProg,middle,2,10,sequential,V,30,30,1,10,11,60,0.6733388900756836,254.95032739639282,12.915830373764038,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,17,10
PyGenProg,middle,2,10,sequential,V,50,50,1,10,11,100,0.7454431056976318,206.98179578781128,12.774610042572021,1.0,1.0,1.0,1.0,1.0,1,7
PyGenProg,middle,2,10,sequential,C,5,5,0,0,10,10,0.6195707321166992,86.93247723579407,13.92061471939087,1.0,1.0,1.0,1.0,1.0,1,4
