approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches,generations
PyGenProg,expression,1,10,sequential,B,0,0,1,1,2,2,0.8131487369537354,247.19058442115784,15.684237957000732,0.09090909090909091,0.0,0.0,0.0,0.5,1,10
PyGenProg,expression,1,10,sequential,B,0,0,1,10,11,11,0.7982730865478516,235.8360378742218,15.414081811904907,0.7090909090909091,1.0,0.68,0.8095238095238095,0.84,1,8
PyGenProg,expression,1,10,sequential,F,10,10,1,10,20,11,0.7799029350280762,766.5765495300293,14.571859121322632,1.0,1.0,1.0,1.0,1.0,1,10
PyGenProg,expression,1,10,sequential,V,10,10,1,10,11,20,0.6962869167327881,264.4423875808716,17.642687559127808,1.0,1.0,1.0,1.0,1.0,2,8
PyGenProg,expression,1,10,sequential,C,10,10,0,0,20,20,0.706078052520752,1056.619324207306,18.044761657714844,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,expression,1,10,sequential,F,30,30,1,10,60,11,0.713526725769043,161.87105083465576,16.248661041259766,1.0,1.0,1.0,1.0,1.0,1,3
PyGenProg,expression,1,10,sequential,V,30,30,1,10,11,60,0.7123012542724609,226.8010938167572,14.916466236114502,1.0,1.0,1.0,1.0,1.0,1,3
PyGenProg,expression,1,10,sequential,C,30,30,0,0,60,60,0.7768378257751465,208.41381525993347,15.59078574180603,1.0,1.0,1.0,1.0,1.0,2,3
PyGenProg,expression,1,10,sequential,F,3,30,1,10,33,11,0.7245683670043945,156.1467568874359,16.190085887908936,0.7090909090909091,1.0,0.68,0.8095238095238095,0.84,1,2
PyGenProg,expression,1,10,sequential,V,3,30,1,10,11,33,0.8493924140930176,348.6866171360016,15.534416675567627,0.9454545454545454,1.0,0.94,0.9690721649484536,0.97,1,10
PyGenProg,expression,1,10,sequential,C,3,30,0,0,33,33,0.780318021774292,170.49991631507874,16.860041856765747,1.0,1.0,1.0,1.0,1.0,1,2
