approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches
PyGenProg,middle,1,1,sequential,B,0,0,1,10,11,11,1.6586806774139404,284.23161816596985,155.66439294815063,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,1,1,sequential,F,5,5,1,10,10,11,1.8833844661712646,445.7195119857788,257.9306654930115,0.09090909090909091,0.0,0.0,0.0,0.5,23
PyGenProg,middle,1,1,sequential,F,10,10,1,10,20,11,2.0449466705322266,313.9339919090271,220.91192150115967,0.09090909090909091,0.0,0.0,0.0,0.5,19
PyGenProg,middle,1,1,sequential,F,30,30,1,10,60,11,1.7287192344665527,341.0995168685913,255.57818269729614,0.09090909090909091,0.0,0.0,0.0,0.5,19
PyGenProg,middle,1,1,sequential,F,50,50,1,10,100,11,1.3641836643218994,312.5445761680603,239.79631853103638,0.09090909090909091,0.0,0.0,0.0,0.5,22
PyGenProg,middle,1,1,sequential,V,5,5,1,10,11,10,1.7375423908233643,266.248087644577,219.53713941574097,0.09090909090909091,0.0,0.0,0.0,0.5,18
PyGenProg,middle,1,1,sequential,V,10,10,1,10,11,20,1.8165264129638672,284.89236998558044,216.32474422454834,0.09090909090909091,0.0,0.0,0.0,0.5,18
PyGenProg,middle,1,1,sequential,V,30,30,1,10,11,60,1.5757761001586914,324.9332399368286,233.48619318008423,0.09090909090909091,0.0,0.0,0.0,0.5,18
PyGenProg,middle,1,1,sequential,V,50,50,1,10,11,100,1.8827714920043945,315.6048138141632,225.22971177101135,0.09090909090909091,0.0,0.0,0.0,0.5,18
PyGenProg,middle,1,1,sequential,C,5,5,0,0,10,10,1.1489777565002441,271.3205728530884,82.93352031707764,0.09090909090909091,0.0,0.0,0.0,0.5,2
PyGenProg,middle,1,1,sequential,C,10,10,0,0,20,20,1.4978809356689453,334.3674895763397,64.40591239929199,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1
PyGenProg,middle,1,1,sequential,C,30,30,0,0,60,60,1.2301244735717773,359.2242753505707,176.74635791778564,0.09090909090909091,0.0,0.0,0.0,0.5,7
PyGenProg,middle,1,1,sequential,C,50,50,0,0,100,100,1.9372680187225342,351.29475378990173,68.38602137565613,0.09090909090909091,0.0,0.0,0.0,0.5,1
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,1.7722132205963135,466.3063406944275,132.14492869377136,0.09090909090909091,0.0,0.0,0.0,0.5,5
PyGenProg,middle,1,10,sequential,F,5,5,1,10,10,11,1.7544350624084473,420.85811710357666,245.9505422115326,0.09090909090909091,0.0,0.0,0.0,0.5,25
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,1.3771579265594482,329.90738129615784,342.87905764579773,0.09090909090909091,0.0,0.0,0.0,0.5,26
PyGenProg,middle,1,10,sequential,F,30,30,1,10,60,11,1.682417869567871,349.7982394695282,218.24194812774658,0.09090909090909091,0.0,0.0,0.0,0.5,20
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,1.641599416732788,361.7291190624237,199.7129271030426,0.09090909090909091,0.0,0.0,0.0,0.5,18
PyGenProg,middle,1,10,sequential,V,5,5,1,10,11,10,1.272378921508789,446.26758098602295,267.9782793521881,0.09090909090909091,0.0,0.0,0.0,0.5,22
PyGenProg,middle,1,10,sequential,V,10,10,1,10,11,20,1.5308547019958496,392.901061296463,307.9234445095062,0.09090909090909091,0.0,0.0,0.0,0.5,22
PyGenProg,middle,1,10,sequential,V,30,30,1,10,11,60,1.1343796253204346,432.4073541164398,325.4207720756531,0.09090909090909091,0.0,0.0,0.0,0.5,22
PyGenProg,middle,1,10,sequential,V,50,50,1,10,11,100,1.356041431427002,543.355153799057,316.99379539489746,0.09090909090909091,0.0,0.0,0.0,0.5,22
PyGenProg,middle,1,10,sequential,C,5,5,0,0,10,10,2.2375214099884033,421.44024777412415,114.10368132591248,1.0,1.0,1.0,1.0,1.0,2
