approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches,generations
PyGenProg,middle,1,10,sequential,B,0,0,1,1,2,2,4.528696298599243,888.432196855545,221.6801769733429,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,1,10
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,4.3021767139434814,1173.6010737419128,222.28791666030884,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,4,10
PyGenProg,middle,1,10,sequential,F,5,5,1,10,10,11,4.816220045089722,681.3461899757385,253.85127210617065,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,4.784648418426514,619.3327126502991,130.45221781730652,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,1,10,sequential,F,30,30,1,10,60,11,1.734074354171753,630.2254369258881,129.07022166252136,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,5.542538642883301,742.9762239456177,140.1573610305786,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,1,10,sequential,V,5,5,1,10,11,10,4.6642005443573,959.4712474346161,125.18798732757568,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,12,10
PyGenProg,middle,1,10,sequential,V,10,10,1,10,11,20,1.378185749053955,1072.7199351787567,209.53979659080505,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,23,10
PyGenProg,middle,1,10,sequential,V,30,30,1,10,11,60,4.657399892807007,1127.2997958660126,220.44124341011047,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,10
PyGenProg,middle,1,10,sequential,V,50,50,1,10,11,100,4.468431234359741,1193.3548166751862,156.6419813632965,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,middle,1,10,sequential,C,5,5,0,0,10,10,4.8254218101501465,809.0252151489258,220.25660276412964,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,1,10,sequential,C,10,10,0,0,20,20,4.770414590835571,649.8279976844788,127.4428858757019,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,1,10,sequential,C,30,30,0,0,60,60,1.489227056503296,552.2135493755341,119.55723428726196,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,1,10,sequential,C,50,50,0,0,100,100,4.49006986618042,1255.0166730880737,232.31871247291565,1.0,1.0,1.0,1.0,1.0,1,6
PyGenProg,middle,2,10,sequential,B,0,0,1,1,2,2,4.768305540084839,941.2187840938568,204.5457682609558,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,43,10
PyGenProg,middle,2,10,sequential,B,0,0,1,10,11,11,4.780739068984985,660.6508209705353,91.28066563606262,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,3
PyGenProg,middle,2,10,sequential,F,5,5,1,10,10,11,1.4061715602874756,328.3578541278839,86.51627111434937,1.0,1.0,1.0,1.0,1.0,1,4
PyGenProg,middle,2,10,sequential,F,10,10,1,10,20,11,1.5319063663482666,410.3699276447296,103.8137698173523,1.0,1.0,1.0,1.0,1.0,1,4
PyGenProg,middle,2,10,sequential,F,30,30,1,10,60,11,5.0971760749816895,564.3959941864014,85.4623076915741,1.0,1.0,1.0,1.0,1.0,1,4
PyGenProg,middle,2,10,sequential,F,50,50,1,10,100,11,4.300854444503784,678.4227938652039,80.49980640411377,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,6
PyGenProg,middle,2,10,sequential,V,5,5,1,10,11,10,1.4546372890472412,744.9517307281494,181.14085865020752,1.0,1.0,1.0,1.0,1.0,1,6
PyGenProg,middle,2,10,sequential,V,10,10,1,10,11,20,4.609516620635986,739.2506160736084,87.66858124732971,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,9,10
PyGenProg,middle,2,10,sequential,V,30,30,1,10,11,60,4.682848215103149,936.7539899349213,206.5937523841858,1.0,1.0,1.0,1.0,1.0,1,7
PyGenProg,middle,2,10,sequential,V,50,50,1,10,11,100,4.69946813583374,905.0593867301941,166.61839699745178,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,2,10
PyGenProg,middle,2,10,sequential,C,5,5,0,0,10,10,4.982533693313599,501.61918330192566,84.70955204963684,1.0,1.0,1.0,1.0,1.0,1,4
PyGenProg,middle,2,10,sequential,C,10,10,0,0,20,20,1.4971647262573242,1072.1199896335602,329.65320324897766,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,39,10
PyGenProg,middle,2,10,sequential,C,30,30,0,0,60,60,4.927931547164917,1124.7797429561615,256.25496339797974,1.0,1.0,1.0,1.0,1.0,23,10
PyGenProg,middle,2,10,sequential,C,50,50,0,0,100,100,4.658480882644653,1105.3347780704498,100.81165409088135,1.0,1.0,1.0,1.0,1.0,1,7
PyGenProg,calculator,1,10,sequential,B,0,0,1,1,2,2,1.55926513671875,678.0014314651489,195.6300082206726,0.09090909090909091,0.0,0.0,0.0,0.5,25,10
PyGenProg,calculator,1,10,sequential,B,0,0,1,10,11,11,6.977673292160034,1289.5416512489319,678.4069113731384,0.09090909090909091,0.0,0.0,0.0,0.5,20,10
PyGenProg,calculator,1,10,sequential,F,5,5,1,10,10,11,1.864933967590332,1417.648511648178,449.39263796806335,0.09090909090909091,0.0,0.0,0.0,0.5,23,10
PyGenProg,calculator,1,10,sequential,F,10,10,1,10,20,11,8.321243047714233,1392.9381012916565,699.7187945842743,0.09090909090909091,0.0,0.0,0.0,0.5,20,10
PyGenProg,calculator,1,10,sequential,F,30,30,1,10,60,11,8.005345821380615,1296.6023643016815,654.641441822052,0.09090909090909091,0.0,0.0,0.0,0.5,20,10
PyGenProg,calculator,1,10,sequential,F,50,50,1,10,100,11,5.511390686035156,913.568662405014,736.3563485145569,0.09090909090909091,0.0,0.0,0.0,0.5,20,10
