approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches
PyGenProg,middle,1,1,sequential,B,0,0,1,10,11,11,2.019981622695923,213.7758274078369,142.31760787963867,0.09090909090909091,0.0,0.0,0.0,0.5,4
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,1.5418469905853271,717.0314145088196,129.07009625434875,1.0,1.0,1.0,1.0,1.0,3
PyGenProg,middle,1,1,sequential,F,5,5,1,10,10,11,4.369927883148193,339.20702862739563,238.99935007095337,0.09090909090909091,0.0,0.0,0.0,0.5,27
PyGenProg,middle,1,1,sequential,F,10,10,1,10,20,11,3.388474941253662,328.9827313423157,313.1929678916931,0.09090909090909091,0.0,0.0,0.0,0.5,27
PyGenProg,middle,1,1,sequential,F,30,30,1,10,60,11,3.6742868423461914,243.3787567615509,180.18917107582092,0.09090909090909091,0.0,0.0,0.0,0.5,15
PyGenProg,middle,1,1,sequential,F,50,50,1,10,100,11,4.093717813491821,312.2851593494415,320.44795298576355,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,24
PyGenProg,middle,1,10,sequential,F,5,5,1,10,10,11,2.8717434406280518,349.80136466026306,360.09678840637207,0.09090909090909091,0.0,0.0,0.0,0.5,23
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,3.018317461013794,388.0004713535309,304.2087194919586,0.09090909090909091,0.0,0.0,0.0,0.5,23
PyGenProg,middle,1,10,sequential,F,30,30,1,10,60,11,3.1690022945404053,425.7912337779999,259.01382637023926,0.09090909090909091,0.0,0.0,0.0,0.5,21
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,2.8731019496917725,417.13643407821655,278.66656160354614,0.09090909090909091,0.0,0.0,0.0,0.5,19
PyGenProg,middle,1,1,sequential,V,5,5,1,10,11,10,2.739534616470337,230.62106704711914,251.01436972618103,0.09090909090909091,0.0,0.0,0.0,0.5,16
