approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches,generations
PyGenProg,pysnooper,2,10,sequential,B,0,0,1,1,2,2,1.9000170230865479,387.7595489025116,56.22674059867859,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,B,0,0,1,10,11,11,1.744039535522461,417.2966117858887,82.46850800514221,0.09090909090909091,0.0,0.0,0.0,0.5,1,10
PyGenProg,pysnooper,2,10,sequential,F,5,5,1,10,10,11,1.786705493927002,359.67471861839294,47.4025342464447,0.09090909090909091,0.0,0.0,0.0,0.5,1,10
PyGenProg,pysnooper,2,10,sequential,F,10,10,1,10,20,11,2.2129859924316406,358.99284195899963,45.52178144454956,0.09090909090909091,0.0,0.0,0.0,0.5,1,10
PyGenProg,pysnooper,2,10,sequential,F,30,30,1,10,60,11,2.201051950454712,377.5733699798584,44.203901290893555,0.09090909090909091,0.0,0.0,0.0,0.5,1,10
PyGenProg,pysnooper,2,10,sequential,F,50,50,1,10,100,11,3.301884889602661,357.7485249042511,48.12440824508667,0.09090909090909091,0.0,0.0,0.0,0.5,1,10
PyGenProg,pysnooper,2,10,sequential,V,5,5,1,10,11,10,3.3249192237854004,310.05107498168945,63.09152889251709,0.09090909090909091,0.0,0.0,0.0,0.5,1,10
PyGenProg,pysnooper,2,10,sequential,V,10,10,1,10,11,20,1.6388657093048096,333.27224826812744,49.36952781677246,0.09090909090909091,0.0,0.0,0.0,0.5,1,10
PyGenProg,pysnooper,2,10,sequential,V,30,30,1,10,11,60,1.3545806407928467,369.65800762176514,42.483165979385376,0.09090909090909091,0.0,0.0,0.0,0.5,1,10
PyGenProg,pysnooper,2,10,sequential,V,50,50,1,10,11,100,1.8698132038116455,446.65700221061707,43.59923839569092,0.09090909090909091,0.0,0.0,0.0,0.5,1,10
PyGenProg,pysnooper,2,10,sequential,C,5,5,0,0,10,10,1.7151119709014893,265.3841516971588,57.11649131774902,0.09090909090909091,0.0,0.0,0.0,0.5,1,10
PyGenProg,pysnooper,2,10,sequential,C,10,10,0,0,20,20,1.2649085521697998,333.97315287590027,40.73778796195984,0.09090909090909091,0.0,0.0,0.0,0.5,1,10
PyGenProg,pysnooper,2,10,sequential,C,30,30,0,0,60,60,1.1475443840026855,346.14050912857056,40.715256690979004,0.09090909090909091,0.0,0.0,0.0,0.5,1,10
PyGenProg,pysnooper,2,10,sequential,C,50,50,0,0,100,100,1.1742198467254639,424.4343011379242,57.09338331222534,0.08727272727272728,0.0,0.0,0.0,0.48,1,10
PyGenProg,pysnooper,3,10,sequential,B,0,0,1,1,2,2,1.1995878219604492,199.69048810005188,45.26392674446106,1.0,1.0,1.0,1.0,1.0,1,6
PyGenProg,pysnooper,3,10,sequential,B,0,0,1,10,11,11,1.5959038734436035,185.20662569999695,48.36623001098633,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,pysnooper,3,10,sequential,F,5,5,1,10,10,11,1.2393043041229248,147.0643424987793,51.51512384414673,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,pysnooper,3,10,sequential,F,10,10,1,10,20,11,1.1107139587402344,252.90285778045654,45.87309670448303,1.0,1.0,1.0,1.0,1.0,1,5
PyGenProg,pysnooper,3,10,sequential,F,30,30,1,10,60,11,1.3014943599700928,232.0581030845642,47.47648072242737,1.0,1.0,1.0,1.0,1.0,1,5
PyGenProg,pysnooper,3,10,sequential,F,50,50,1,10,100,11,1.215620994567871,205.67524671554565,48.543723344802856,1.0,1.0,1.0,1.0,1.0,1,5
PyGenProg,pysnooper,3,10,sequential,V,5,5,1,10,11,10,1.213547706604004,176.6386067867279,56.806434631347656,1.0,1.0,1.0,1.0,1.0,2,2
PyGenProg,pysnooper,3,10,sequential,V,10,10,1,10,11,20,1.2170631885528564,188.1571295261383,62.27420449256897,1.0,1.0,1.0,1.0,1.0,2,2
PyGenProg,pysnooper,3,10,sequential,V,30,30,1,10,11,60,1.2512614727020264,199.71392726898193,60.81606340408325,1.0,1.0,1.0,1.0,1.0,2,2
PyGenProg,pysnooper,3,10,sequential,V,50,50,1,10,11,100,1.2729647159576416,241.53365969657898,49.878480434417725,1.0,1.0,1.0,1.0,1.0,2,2
PyGenProg,pysnooper,3,10,sequential,C,5,5,0,0,10,10,1.5908844470977783,174.98436665534973,87.30138683319092,1.0,1.0,1.0,1.0,1.0,2,2
PyGenProg,pysnooper,3,10,sequential,C,10,10,0,0,20,20,1.4616827964782715,227.41423726081848,56.086472034454346,1.0,1.0,1.0,1.0,1.0,1,5
PyGenProg,pysnooper,3,10,sequential,C,30,30,0,0,60,60,1.146965503692627,348.81572818756104,45.07867455482483,1.0,1.0,1.0,1.0,1.0,1,5
PyGenProg,pysnooper,3,10,sequential,C,50,50,0,0,100,100,1.2393877506256104,379.58358931541443,49.52344274520874,1.0,1.0,1.0,1.0,1.0,1,5
