approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches,generations
PyGenProg,middle,1,10,sequential,B,0,0,1,1,2,2,0.9053423404693604,278.5708293914795,55.41740584373474,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,6
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,0.8050966262817383,214.89274621009827,58.15523386001587,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,2
PyGenProg,middle,1,10,sequential,F,5,5,1,10,10,11,1.0675489902496338,387.95837807655334,54.82728552818298,0.9727272727272728,0.7692307692307693,1.0,0.8695652173913044,0.85,1,10
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,1.0578033924102783,423.6754689216614,219.31778693199158,0.09090909090909091,0.0,0.0,0.0,0.5,23,10
PyGenProg,middle,1,10,sequential,F,30,30,1,10,60,11,0.7172591686248779,305.9661064147949,206.06637501716614,0.09090909090909091,0.0,0.0,0.0,0.5,16,10
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,1.1997580528259277,311.2150709629059,49.61902117729187,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,8
PyGenProg,middle,1,10,sequential,V,5,5,1,10,11,10,0.7770340442657471,282.7954602241516,70.774010181427,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,16,10
PyGenProg,middle,1,10,sequential,V,10,10,1,10,11,20,0.8651728630065918,277.0616497993469,51.603572607040405,1.0,1.0,1.0,1.0,1.0,1,8
PyGenProg,middle,1,10,sequential,V,30,30,1,10,11,60,0.8154628276824951,513.9897758960724,64.14512372016907,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,29,10
PyGenProg,middle,1,10,sequential,V,50,50,1,10,11,100,1.0334887504577637,676.1345262527466,67.35588526725769,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,29,10
PyGenProg,middle,1,10,sequential,C,5,5,0,0,10,10,0.9162640571594238,257.71834087371826,96.72181916236877,1.0,1.0,1.0,1.0,1.0,1,6
PyGenProg,middle,1,10,sequential,C,10,10,0,0,20,20,0.9268550872802734,345.78141355514526,185.66588306427002,0.09090909090909091,0.0,0.0,0.0,0.5,14,10
PyGenProg,middle,1,10,sequential,C,30,30,0,0,60,60,0.7783722877502441,467.52768206596375,161.72451400756836,0.09090909090909091,0.0,0.0,0.0,0.5,17,10
PyGenProg,middle,1,10,sequential,C,50,50,0,0,100,100,0.9381146430969238,448.0954384803772,59.99439811706543,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,10
PyGenProg,middle,2,10,sequential,B,0,0,1,1,2,2,0.9837002754211426,131.84028148651123,45.89927363395691,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,middle,2,10,sequential,B,0,0,1,10,11,11,0.8559725284576416,380.70127511024475,48.272411584854126,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,6
PyGenProg,middle,2,10,sequential,F,5,5,1,10,10,11,0.9466714859008789,371.460577249527,45.87249135971069,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,9,10
PyGenProg,middle,2,10,sequential,F,10,10,1,10,20,11,1.1407201290130615,172.31201124191284,43.92705297470093,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,1,10
PyGenProg,middle,2,10,sequential,F,30,30,1,10,60,11,0.7749080657958984,293.91681838035583,44.28840899467468,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,6,10
PyGenProg,middle,2,10,sequential,F,50,50,1,10,100,11,0.888446569442749,260.33415031433105,70.1468415260315,0.09090909090909091,0.0,0.0,0.0,0.5,14,10
PyGenProg,middle,2,10,sequential,V,5,5,1,10,11,10,0.9596648216247559,328.6050305366516,47.99296283721924,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,1,10
PyGenProg,middle,2,10,sequential,V,10,10,1,10,11,20,0.9129283428192139,366.5296938419342,43.13559913635254,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,16,10
PyGenProg,middle,2,10,sequential,V,30,30,1,10,11,60,0.7907745838165283,336.2782554626465,50.76737833023071,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,2,10
PyGenProg,middle,2,10,sequential,V,50,50,1,10,11,100,0.8681004047393799,341.9753739833832,41.681456327438354,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,1,10
GENPROG,MIDDLE,2,10,COMPLETE,5,5,CalledProcessError,"Command '['python3', '-m', 'pip', 'install', '--upgrade', 'pytest']' returned non-zero exit status 1.",5233,,,,,,,,,,,
PyGenProg,middle,2,10,sequential,C,10,10,0,0,20,20,0.8435356616973877,261.07324481010437,40.964465379714966,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,11,10
PyGenProg,middle,2,10,sequential,C,30,30,0,0,60,60,0.8119471073150635,309.7806282043457,48.5078341960907,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,19,10
PyGenProg,middle,2,10,sequential,C,50,50,0,0,100,100,0.8051893711090088,429.8653030395508,56.499932050704956,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,31,10
PyGenProg,calculator,1,10,sequential,B,0,0,1,1,2,2,1.026578664779663,364.1251862049103,565.1509592533112,0.09090909090909091,0.0,0.0,0.0,0.5,22,10
PyGenProg,calculator,1,10,sequential,B,0,0,1,10,11,11,1.0075931549072266,313.3137946128845,1066.125189781189,0.09090909090909091,0.0,0.0,0.0,0.5,16,10
PyGenProg,calculator,1,10,sequential,F,5,5,1,10,10,11,0.9326419830322266,373.56136107444763,568.3790118694305,0.09090909090909091,0.0,0.0,0.0,0.5,14,10
PyGenProg,calculator,1,10,sequential,F,10,10,1,10,20,11,0.8862571716308594,241.1862473487854,311.78464913368225,0.09090909090909091,0.0,0.0,0.0,0.5,9,10
PyGenProg,calculator,1,10,sequential,F,30,30,1,10,60,11,0.798037052154541,416.47192335128784,319.7462646961212,0.09090909090909091,0.0,0.0,0.0,0.5,12,10
