approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches,generations
PyGenProg,pysnooper,2,10,sequential,B,0,0,1,1,2,2,3.138526201248169,311.9300558567047,49.400991678237915,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,B,0,0,1,10,11,11,1.4119954109191895,278.9368176460266,103.21515679359436,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,F,5,5,1,10,10,11,1.1882145404815674,294.3790645599365,78.99027729034424,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,F,10,10,1,10,20,11,3.934619188308716,291.9578549861908,67.30973362922668,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,F,30,30,1,10,60,11,3.360550880432129,331.99692034721375,55.388237714767456,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,F,50,50,1,10,100,11,4.623839378356934,391.3015422821045,57.858250856399536,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,V,5,5,1,10,11,10,4.12108302116394,335.108122587204,68.67227721214294,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,V,10,10,1,10,11,20,1.6101255416870117,365.65508937835693,70.67140054702759,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,V,30,30,1,10,11,60,3.4916632175445557,447.7043731212616,57.80627679824829,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,V,50,50,1,10,11,100,1.1629116535186768,467.71186685562134,54.00646424293518,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,C,5,5,0,0,10,10,1.1496782302856445,270.57932233810425,68.30428957939148,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,C,10,10,0,0,20,20,2.5193681716918945,322.3057599067688,60.12519979476929,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,C,30,30,0,0,60,60,1.1669011116027832,377.86807680130005,60.52087378501892,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,2,10,sequential,C,50,50,0,0,100,100,1.160336971282959,461.90415024757385,70.16929602622986,0.09090909090909091,0.0,0.0,0.0,0.5,2,10
PyGenProg,pysnooper,3,10,sequential,B,0,0,1,1,2,2,1.1975164413452148,256.706339597702,48.109036922454834,0.09090909090909091,0.0,0.0,0.0,0.5,1,10
PyGenProg,pysnooper,3,10,sequential,B,0,0,1,10,11,11,1.2541077136993408,135.38602352142334,58.33892488479614,1.0,1.0,1.0,1.0,1.0,2,1
PyGenProg,pysnooper,3,10,sequential,F,5,5,1,10,10,11,1.16536283493042,165.54129314422607,61.15572714805603,1.0,1.0,1.0,1.0,1.0,3,1
PyGenProg,pysnooper,3,10,sequential,F,10,10,1,10,20,11,1.1766321659088135,165.94984698295593,48.14525532722473,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,pysnooper,3,10,sequential,F,30,30,1,10,60,11,1.1682488918304443,305.10818219184875,53.26290798187256,0.09090909090909091,0.0,0.0,0.0,0.5,1,10
PyGenProg,pysnooper,3,10,sequential,F,50,50,1,10,100,11,1.1746370792388916,300.4360120296478,48.43851613998413,0.09090909090909091,0.0,0.0,0.0,0.5,1,10
PyGenProg,pysnooper,3,10,sequential,V,5,5,1,10,11,10,2.0954151153564453,153.42176985740662,61.395813941955566,1.0,1.0,1.0,1.0,1.0,2,1
PyGenProg,pysnooper,3,10,sequential,V,10,10,1,10,11,20,1.7467868328094482,164.96899390220642,75.79272747039795,1.0,1.0,1.0,1.0,1.0,2,1
PyGenProg,pysnooper,3,10,sequential,V,30,30,1,10,11,60,1.3926963806152344,159.83566570281982,59.88671612739563,1.0,1.0,1.0,1.0,1.0,2,1
PyGenProg,pysnooper,3,10,sequential,V,50,50,1,10,11,100,1.2776703834533691,170.18304061889648,62.0957396030426,1.0,1.0,1.0,1.0,1.0,2,1
PyGenProg,pysnooper,3,10,sequential,C,5,5,0,0,10,10,1.2853243350982666,203.41196846961975,82.94209742546082,1.0,1.0,1.0,1.0,1.0,3,1
PyGenProg,pysnooper,3,10,sequential,C,10,10,0,0,20,20,1.214158535003662,176.15586471557617,56.12086844444275,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,pysnooper,3,10,sequential,C,30,30,0,0,60,60,1.1166448593139648,444.9712755680084,49.953365325927734,0.09090909090909091,0.0,0.0,0.0,0.5,1,10
PyGenProg,pysnooper,3,10,sequential,C,50,50,0,0,100,100,1.3027520179748535,530.3211359977722,51.516647815704346,0.09090909090909091,0.0,0.0,0.0,0.5,1,10
