approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches
PyGenProg,middle,1,1,sequential,B,0,0,1,10,11,11,2.37855863571167,305.66823172569275,173.27591681480408,0.09090909090909091,0.0,0.0,0.0,0.5,7
PyGenProg,middle,1,1,sequential,F,5,5,1,10,10,11,1.2799224853515625,366.7169852256775,278.8268473148346,0.09090909090909091,0.0,0.0,0.0,0.5,27
PyGenProg,middle,1,1,sequential,F,10,10,1,10,20,11,2.0139949321746826,387.8912630081177,223.41530632972717,0.09090909090909091,0.0,0.0,0.0,0.5,20
PyGenProg,middle,1,1,sequential,F,30,30,1,10,60,11,1.9593746662139893,391.24478912353516,238.98283195495605,0.09090909090909091,0.0,0.0,0.0,0.5,23
PyGenProg,middle,1,1,sequential,F,50,50,1,10,100,11,1.208076000213623,288.8369834423065,287.4519624710083,0.09090909090909091,0.0,0.0,0.0,0.5,22
PyGenProg,middle,1,1,sequential,V,5,5,1,10,11,10,2.2617874145507812,326.0344285964966,185.2537808418274,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,18
PyGenProg,middle,1,1,sequential,V,10,10,1,10,11,20,1.2174780368804932,278.74982929229736,183.6945674419403,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,18
PyGenProg,middle,1,1,sequential,V,30,30,1,10,11,60,1.2322592735290527,259.67065811157227,194.22777843475342,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,18
PyGenProg,middle,1,1,sequential,V,50,50,1,10,11,100,1.2882893085479736,294.9297239780426,251.65187549591064,0.09090909090909091,0.0,0.0,0.0,0.5,18
PyGenProg,middle,1,1,sequential,C,5,5,0,0,10,10,1.2833366394042969,275.2323250770569,170.1588454246521,0.09090909090909091,0.0,0.0,0.0,0.5,7
PyGenProg,middle,1,1,sequential,C,10,10,0,0,20,20,1.2883555889129639,289.75087094306946,222.83285474777222,0.09090909090909091,0.0,0.0,0.0,0.5,9
PyGenProg,middle,1,1,sequential,C,30,30,0,0,60,60,1.374462604522705,437.2315936088562,72.72601270675659,0.09090909090909091,0.0,0.0,0.0,0.5,1
PyGenProg,middle,1,1,sequential,C,50,50,0,0,100,100,2.055999994277954,449.0924413204193,68.85120749473572,0.09090909090909091,0.0,0.0,0.0,0.5,1
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,1.1795806884765625,234.53557348251343,77.2116916179657,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1
PyGenProg,middle,1,10,sequential,F,5,5,1,10,10,11,1.9879224300384521,484.5420105457306,274.07938957214355,1.0,1.0,1.0,1.0,1.0,23
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,1.356889009475708,327.06018352508545,277.1219410896301,0.09090909090909091,0.0,0.0,0.0,0.5,21
PyGenProg,middle,1,10,sequential,F,30,30,1,10,60,11,1.951341152191162,493.6838643550873,184.3404495716095,0.09090909090909091,0.0,0.0,0.0,0.5,22
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,2.5466160774230957,443.724458694458,165.15124225616455,0.09090909090909091,0.0,0.0,0.0,0.5,20
PyGenProg,middle,1,10,sequential,V,5,5,1,10,11,10,1.3931820392608643,383.9991080760956,235.97368121147156,0.09090909090909091,0.0,0.0,0.0,0.5,14
PyGenProg,middle,1,10,sequential,V,10,10,1,10,11,20,1.4103991985321045,356.48506593704224,221.69453740119934,0.09090909090909091,0.0,0.0,0.0,0.5,14
PyGenProg,middle,1,10,sequential,V,30,30,1,10,11,60,1.899247169494629,431.4360411167145,234.42048287391663,0.09090909090909091,0.0,0.0,0.0,0.5,14
PyGenProg,middle,1,10,sequential,V,50,50,1,10,11,100,1.4864592552185059,620.8217370510101,216.28783988952637,0.09090909090909091,0.0,0.0,0.0,0.5,14
PyGenProg,middle,1,10,sequential,C,5,5,0,0,10,10,1.4252803325653076,605.6793069839478,100.24712753295898,1.0,1.0,1.0,1.0,1.0,1
PyGenProg,middle,1,10,sequential,C,10,10,0,0,20,20,2.2048027515411377,841.3669579029083,133.2717227935791,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,5
PyGenProg,middle,1,10,sequential,C,30,30,0,0,60,60,1.585148572921753,1187.7926518917084,128.01575756072998,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,2
PyGenProg,middle,1,10,sequential,C,50,50,0,0,100,100,1.5989282131195068,1245.8764674663544,91.30539178848267,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,1
PyGenProg,middle,2,1,sequential,B,0,0,1,10,11,11,1.6232595443725586,220.49367594718933,67.730642080307,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,1
PyGenProg,middle,2,1,sequential,F,5,5,1,10,10,11,2.0725669860839844,263.8245701789856,113.28812575340271,0.09090909090909091,0.0,0.0,0.0,0.5,9
PyGenProg,middle,2,1,sequential,F,10,10,1,10,20,11,1.4829950332641602,209.3603286743164,103.16638422012329,0.09090909090909091,0.0,0.0,0.0,0.5,5
PyGenProg,middle,2,1,sequential,F,30,30,1,10,60,11,2.1725382804870605,258.7853102684021,113.93819546699524,0.09090909090909091,0.0,0.0,0.0,0.5,5
PyGenProg,middle,2,1,sequential,F,50,50,1,10,100,11,1.7869086265563965,315.02467346191406,98.6999762058258,0.09090909090909091,0.0,0.0,0.0,0.5,5
PyGenProg,middle,2,1,sequential,V,5,5,1,10,11,10,2.1980245113372803,288.89303755760193,142.36117839813232,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,9
PyGenProg,middle,2,1,sequential,V,10,10,1,10,11,20,2.480536937713623,290.7941219806671,102.31602430343628,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,9
PyGenProg,middle,2,1,sequential,V,30,30,1,10,11,60,2.379422187805176,269.8551652431488,118.00387620925903,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,9
PyGenProg,middle,2,1,sequential,V,50,50,1,10,11,100,2.400987148284912,313.16294598579407,151.9517617225647,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,9
PyGenProg,middle,2,1,sequential,C,5,5,0,0,10,10,2.0747547149658203,274.65348744392395,98.80937075614929,0.09090909090909091,0.0,0.0,0.0,0.5,8
PyGenProg,middle,2,1,sequential,C,10,10,0,0,20,20,2.605513572692871,285.8190715312958,108.57646465301514,0.09090909090909091,0.0,0.0,0.0,0.5,4
PyGenProg,middle,2,1,sequential,C,30,30,0,0,60,60,2.1426777839660645,356.90821623802185,84.20412468910217,0.09090909090909091,0.0,0.0,0.0,0.5,3
PyGenProg,middle,2,1,sequential,C,50,50,0,0,100,100,1.5110976696014404,248.00628900527954,88.68255639076233,0.09090909090909091,0.0,0.0,0.0,0.5,3
PyGenProg,middle,2,10,sequential,B,0,0,1,10,11,11,1.5809681415557861,312.8299608230591,77.67931056022644,1.0,1.0,1.0,1.0,1.0,1
PyGenProg,middle,2,10,sequential,F,5,5,1,10,10,11,1.5245041847229004,356.9196162223816,115.85235857963562,0.09090909090909091,0.0,0.0,0.0,0.5,9
PyGenProg,middle,2,10,sequential,F,10,10,1,10,20,11,2.160104274749756,433.30584740638733,109.15551424026489,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,2,10,sequential,F,30,30,1,10,60,11,2.431389808654785,385.5267114639282,92.20763111114502,0.09090909090909091,0.0,0.0,0.0,0.5,7
PyGenProg,middle,2,10,sequential,F,50,50,1,10,100,11,1.6954429149627686,446.22018218040466,106.0994062423706,0.09090909090909091,0.0,0.0,0.0,0.5,8
PyGenProg,middle,2,10,sequential,V,5,5,1,10,11,10,1.5258796215057373,351.5437934398651,118.91514730453491,0.09090909090909091,0.0,0.0,0.0,0.5,7
PyGenProg,middle,2,10,sequential,V,10,10,1,10,11,20,2.450228452682495,413.239896774292,107.88269567489624,0.09090909090909091,0.0,0.0,0.0,0.5,7
PyGenProg,middle,2,10,sequential,V,30,30,1,10,11,60,2.0449037551879883,383.3302595615387,105.28450584411621,0.09090909090909091,0.0,0.0,0.0,0.5,7
PyGenProg,middle,2,10,sequential,V,50,50,1,10,11,100,1.6007726192474365,403.9132318496704,105.65907669067383,0.09090909090909091,0.0,0.0,0.0,0.5,7
PyGenProg,middle,2,10,sequential,C,5,5,0,0,10,10,1.6499793529510498,514.6176557540894,128.12265920639038,0.09090909090909091,0.0,0.0,0.0,0.5,23
PyGenProg,middle,2,10,sequential,C,10,10,0,0,20,20,1.534787654876709,693.6780741214752,134.67294764518738,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,17
PyGenProg,middle,2,10,sequential,C,30,30,0,0,60,60,2.0069587230682373,696.5384104251862,74.01140093803406,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1
PyGenProg,middle,2,10,sequential,C,50,50,0,0,100,100,2.2865469455718994,617.1081018447876,99.12297892570496,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1
PyGenProg,calculator,1,1,sequential,B,0,0,1,10,11,11,4.771193265914917,364.65022349357605,106.44250750541687,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,calculator,1,1,sequential,F,5,5,1,10,10,11,2.382265090942383,350.9575366973877,363.1884627342224,0.09090909090909091,0.0,0.0,0.0,0.5,23
PyGenProg,calculator,1,1,sequential,F,10,10,1,10,20,11,1.8745067119598389,522.5539865493774,386.64105439186096,0.09090909090909091,0.0,0.0,0.0,0.5,23
PyGenProg,calculator,1,1,sequential,F,30,30,1,10,60,11,1.9012277126312256,339.746789932251,117.98457646369934,0.09090909090909091,0.0,0.0,0.0,0.5,16
PyGenProg,calculator,1,1,sequential,F,50,50,1,10,100,11,1.4859566688537598,312.4660174846649,106.88630795478821,0.09090909090909091,0.0,0.0,0.0,0.5,16
PyGenProg,calculator,1,1,sequential,V,5,5,1,10,11,10,1.8196992874145508,414.8505835533142,1155.5738546848297,0.09090909090909091,0.0,0.0,0.0,0.5,26
PyGenProg,calculator,1,1,sequential,V,10,10,1,10,11,20,1.7872211933135986,472.8683052062988,1132.8606934547424,0.09090909090909091,0.0,0.0,0.0,0.5,26
PyGenProg,calculator,1,1,sequential,V,30,30,1,10,11,60,2.002971887588501,486.36919260025024,1114.8385128974915,0.09090909090909091,0.0,0.0,0.0,0.5,26
PyGenProg,calculator,1,1,sequential,V,50,50,1,10,11,100,1.4017889499664307,758.1889786720276,1128.2220718860626,0.09090909090909091,0.0,0.0,0.0,0.5,26
PyGenProg,calculator,1,1,sequential,C,5,5,0,0,10,10,1.8812589645385742,280.4775948524475,310.33594369888306,0.09090909090909091,0.0,0.0,0.0,0.5,5
PyGenProg,calculator,1,1,sequential,C,10,10,0,0,20,20,2.056886672973633,266.35959243774414,307.0644121170044,0.09090909090909091,0.0,0.0,0.0,0.5,5
PyGenProg,calculator,1,1,sequential,C,30,30,0,0,60,60,1.6105177402496338,292.0844931602478,62.53542399406433,0.09090909090909091,0.0,0.0,0.0,0.5,3
PyGenProg,calculator,1,1,sequential,C,50,50,0,0,100,100,1.5063960552215576,294.08936882019043,72.823477268219,0.09090909090909091,0.0,0.0,0.0,0.5,3
PyGenProg,calculator,1,10,sequential,B,0,0,1,10,11,11,1.4205896854400635,644.4071249961853,589.5346081256866,0.09090909090909091,0.0,0.0,0.0,0.5,20
PyGenProg,calculator,1,10,sequential,F,5,5,1,10,10,11,1.6481261253356934,428.4220333099365,83.4027669429779,0.09090909090909091,0.0,0.0,0.0,0.5,17
PyGenProg,calculator,1,10,sequential,F,10,10,1,10,20,11,1.9791078567504883,474.289941072464,80.48110365867615,0.09090909090909091,0.0,0.0,0.0,0.5,17
PyGenProg,calculator,1,10,sequential,F,30,30,1,10,60,11,1.3366093635559082,344.7931582927704,575.2329063415527,0.09090909090909091,0.0,0.0,0.0,0.5,18
PyGenProg,calculator,1,10,sequential,F,50,50,1,10,100,11,2.047600746154785,419.18752813339233,579.503760099411,0.09090909090909091,0.0,0.0,0.0,0.5,19
PyGenProg,calculator,1,10,sequential,V,5,5,1,10,11,10,1.547560691833496,466.15060114860535,592.7214820384979,0.09090909090909091,0.0,0.0,0.0,0.5,17
PyGenProg,calculator,1,10,sequential,V,10,10,1,10,11,20,1.809648036956787,549.6308596134186,591.2210948467255,0.09090909090909091,0.0,0.0,0.0,0.5,17
PyGenProg,calculator,1,10,sequential,V,30,30,1,10,11,60,1.547910451889038,983.6426239013672,594.9101934432983,0.09090909090909091,0.0,0.0,0.0,0.5,17
PyGenProg,calculator,1,10,sequential,V,50,50,1,10,11,100,2.2752320766448975,1475.898596048355,643.92400431633,0.09090909090909091,0.0,0.0,0.0,0.5,17
PyGenProg,calculator,1,10,sequential,C,5,5,0,0,10,10,1.9687530994415283,534.7436776161194,650.3581984043121,0.09090909090909091,0.0,0.0,0.0,0.5,10
PyGenProg,calculator,1,10,sequential,C,10,10,0,0,20,20,2.8266563415527344,642.4897367954254,636.148549079895,0.09090909090909091,0.0,0.0,0.0,0.5,11
PyGenProg,calculator,1,10,sequential,C,30,30,0,0,60,60,2.0729758739471436,981.9460442066193,374.46065497398376,0.09090909090909091,0.0,0.0,0.0,0.5,10
PyGenProg,calculator,1,10,sequential,C,50,50,0,0,100,100,2.740020751953125,1297.1525311470032,79.37903594970703,0.09090909090909091,0.0,0.0,0.0,0.5,4
PyGenProg,expression,1,1,sequential,B,0,0,1,10,11,11,1.729900598526001,378.53222489356995,79.45319080352783,0.09090909090909091,0.0,0.0,0.0,0.5,3
PyGenProg,expression,1,1,sequential,F,5,5,1,10,10,11,1.2685415744781494,427.9569511413574,333.3556878566742,0.09090909090909091,0.0,0.0,0.0,0.5,37
PyGenProg,expression,1,1,sequential,F,10,10,1,10,20,11,1.5317223072052002,420.14681339263916,308.4829635620117,0.09090909090909091,0.0,0.0,0.0,0.5,39
PyGenProg,expression,1,1,sequential,F,30,30,1,10,60,11,1.4094340801239014,397.5047001838684,320.39435958862305,0.09090909090909091,0.0,0.0,0.0,0.5,39
PyGenProg,expression,1,1,sequential,F,50,50,1,10,100,11,1.929833173751831,337.63740396499634,296.2048993110657,0.09090909090909091,0.0,0.0,0.0,0.5,37
PyGenProg,expression,1,1,sequential,V,5,5,1,10,11,10,2.030592441558838,334.80085945129395,714.756679058075,0.09090909090909091,0.0,0.0,0.0,0.5,37
PyGenProg,expression,1,1,sequential,V,10,10,1,10,11,20,1.5679676532745361,436.65620160102844,674.6495218276978,0.09090909090909091,0.0,0.0,0.0,0.5,37
PyGenProg,expression,1,1,sequential,V,30,30,1,10,11,60,1.640225887298584,384.53878235816956,678.496749162674,0.09090909090909091,0.0,0.0,0.0,0.5,37
PyGenProg,expression,1,1,sequential,V,50,50,1,10,11,100,1.9158337116241455,613.6396126747131,707.3627710342407,0.09090909090909091,0.0,0.0,0.0,0.5,37
PyGenProg,expression,1,1,sequential,C,5,5,0,0,10,10,1.3962833881378174,372.6505124568939,72.91401195526123,0.09090909090909091,0.0,0.0,0.0,0.5,3
PyGenProg,expression,1,1,sequential,C,10,10,0,0,20,20,1.2429916858673096,357.61551809310913,71.61174774169922,0.09090909090909091,0.0,0.0,0.0,0.5,3
PyGenProg,expression,1,1,sequential,C,30,30,0,0,60,60,1.1933670043945312,547.3818640708923,79.12970614433289,0.09090909090909091,0.0,0.0,0.0,0.5,3
PyGenProg,expression,1,1,sequential,C,50,50,0,0,100,100,3.3338170051574707,810.9969840049744,72.21483373641968,0.09090909090909091,0.0,0.0,0.0,0.5,1
PyGenProg,expression,1,10,sequential,B,0,0,1,10,11,11,2.027618646621704,722.2036457061768,131.84768629074097,0.09090909090909091,0.0,0.0,0.0,0.5,5
