approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches,generations
PyGenProg,middle,1,10,sequential,B,0,0,1,1,2,2,1.1137785911560059,310.2101662158966,76.19988870620728,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,1,10
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,0.9498353004455566,194.68441033363342,53.50973200798035,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,3
PyGenProg,middle,1,10,sequential,F,5,5,1,10,10,11,0.7511301040649414,225.6516935825348,57.902095794677734,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,5
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,0.8704869747161865,160.47097635269165,51.47662663459778,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,1,10,sequential,F,30,30,1,10,60,11,0.8176558017730713,290.07886147499084,62.43493056297302,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,7
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,0.8023693561553955,410.119722366333,248.60380148887634,0.09090909090909091,0.0,0.0,0.0,0.5,25,10
PyGenProg,middle,1,10,sequential,V,5,5,1,10,11,10,0.8546912670135498,290.1694173812866,51.54002118110657,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,12,10
PyGenProg,middle,1,10,sequential,V,10,10,1,10,11,20,0.8211548328399658,313.403418302536,51.91241240501404,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,9,10
PyGenProg,middle,1,10,sequential,V,30,30,1,10,11,60,1.0642027854919434,339.7307813167572,53.192729473114014,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,15,10
PyGenProg,middle,1,10,sequential,V,50,50,1,10,11,100,0.7009117603302002,385.55213022232056,56.14744710922241,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,4,10
PyGenProg,middle,1,10,sequential,C,5,5,0,0,10,10,0.7841694355010986,324.26893067359924,93.37187099456787,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,34,10
PyGenProg,middle,1,10,sequential,C,10,10,0,0,20,20,0.779383659362793,328.0842835903168,52.82898712158203,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,26,10
PyGenProg,middle,1,10,sequential,C,30,30,0,0,60,60,0.750870943069458,609.9336915016174,203.3590793609619,0.09090909090909091,0.0,0.0,0.0,0.5,19,10
PyGenProg,middle,1,10,sequential,C,50,50,0,0,100,100,0.8319830894470215,510.4885654449463,53.18705415725708,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,10
PyGenProg,middle,2,10,sequential,B,0,0,1,1,2,2,0.9102795124053955,154.80064582824707,49.8982093334198,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,middle,2,10,sequential,B,0,0,1,10,11,11,0.7883086204528809,187.41434574127197,41.68211054801941,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,9
PyGenProg,middle,2,10,sequential,F,5,5,1,10,10,11,1.2014575004577637,259.84957337379456,91.71349763870239,0.09090909090909091,0.0,0.0,0.0,0.5,21,10
PyGenProg,middle,2,10,sequential,F,10,10,1,10,20,11,0.9158017635345459,334.0531940460205,69.36195802688599,0.09090909090909091,0.0,0.0,0.0,0.5,10,10
PyGenProg,middle,2,10,sequential,F,30,30,1,10,60,11,0.8067989349365234,273.54314160346985,44.510942697525024,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,7
PyGenProg,middle,2,10,sequential,F,50,50,1,10,100,11,0.7766542434692383,313.2349178791046,46.542200326919556,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,8
PyGenProg,middle,2,10,sequential,V,5,5,1,10,11,10,0.8584554195404053,219.48189544677734,45.40048122406006,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,10
PyGenProg,middle,2,10,sequential,V,10,10,1,10,11,20,0.8341996669769287,195.95105409622192,40.85628056526184,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,10
PyGenProg,middle,2,10,sequential,V,30,30,1,10,11,60,0.7791683673858643,251.01235127449036,46.83278012275696,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,10
PyGenProg,middle,2,10,sequential,V,50,50,1,10,11,100,0.7800838947296143,252.2079725265503,48.85840964317322,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,10
PyGenProg,middle,2,10,sequential,C,5,5,0,0,10,10,0.9039781093597412,328.3095934391022,48.57597255706787,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,20,10
PyGenProg,middle,2,10,sequential,C,10,10,0,0,20,20,0.9541211128234863,339.42976427078247,41.465575218200684,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,9,10
PyGenProg,middle,2,10,sequential,C,30,30,0,0,60,60,0.8754143714904785,281.70814180374146,45.98473119735718,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,16,10
PyGenProg,middle,2,10,sequential,C,50,50,0,0,100,100,0.8312537670135498,295.8956832885742,45.748085021972656,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,20,10
PyGenProg,calculator,1,10,sequential,B,0,0,1,1,2,2,0.9699101448059082,230.27947974205017,84.0188889503479,0.09090909090909091,0.0,0.0,0.0,0.5,20,10
PyGenProg,calculator,1,10,sequential,B,0,0,1,10,11,11,0.8830194473266602,276.83737325668335,320.12153220176697,0.09090909090909091,0.0,0.0,0.0,0.5,18,10
