approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches,generations
PyGenProg,middle,1,10,sequential,B,0,0,1,1,2,2,2.1936850547790527,535.0427784919739,97.85060358047485,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,9
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,1.4882264137268066,523.5463645458221,76.82721018791199,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,3,10
PyGenProg,middle,1,10,sequential,F,5,5,1,10,10,11,2.195385694503784,356.70454812049866,72.67022776603699,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,2
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,1.769589900970459,389.2706699371338,73.87628102302551,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,2
PyGenProg,middle,1,10,sequential,F,30,30,1,10,60,11,1.290714979171753,334.3339560031891,71.19233107566833,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,2
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,1.412646770477295,398.72794914245605,89.0401771068573,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,2
PyGenProg,middle,1,10,sequential,V,5,5,1,10,11,10,1.6147699356079102,513.5093612670898,106.0148458480835,0.9490909090909091,0.6410256410256411,1.0,0.7812500000000001,0.72,2,10
PyGenProg,middle,1,10,sequential,V,10,10,1,10,11,20,1.6658971309661865,561.9449508190155,77.65064215660095,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,10
PyGenProg,middle,1,10,sequential,V,30,30,1,10,11,60,1.4321801662445068,828.2839376926422,87.18008947372437,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,2,10
PyGenProg,middle,1,10,sequential,V,50,50,1,10,11,100,2.129157304763794,863.4609489440918,94.33070874214172,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,1,10
PyGenProg,middle,1,10,sequential,C,5,5,0,0,10,10,2.4955098628997803,701.2579035758972,116.24410080909729,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,13,10
PyGenProg,middle,1,10,sequential,C,10,10,0,0,20,20,2.7102861404418945,787.9509670734406,202.91826581954956,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,9,10
PyGenProg,middle,1,10,sequential,C,30,30,0,0,60,60,4.069999694824219,1335.1837980747223,192.0534863471985,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,5,10
PyGenProg,middle,1,10,sequential,C,50,50,0,0,100,100,1.4917800426483154,1097.3756666183472,137.2715561389923,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,10
PyGenProg,middle,2,10,sequential,B,0,0,1,1,2,2,3.616119861602783,626.8741888999939,100.91234254837036,1.0,1.0,1.0,1.0,1.0,1,3
PyGenProg,middle,2,10,sequential,B,0,0,1,10,11,11,2.4069154262542725,469.2238552570343,55.61233592033386,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,2,4
PyGenProg,middle,2,10,sequential,F,5,5,1,10,10,11,1.2883026599884033,524.1995639801025,69.21888732910156,1.0,1.0,1.0,1.0,1.0,1,6
PyGenProg,middle,2,10,sequential,F,10,10,1,10,20,11,1.7030344009399414,635.2792692184448,124.69196105003357,0.09090909090909091,0.0,0.0,0.0,0.5,17,10
PyGenProg,middle,2,10,sequential,F,30,30,1,10,60,11,1.6132171154022217,636.9247961044312,87.3051962852478,1.0,1.0,1.0,1.0,1.0,1,7
PyGenProg,middle,2,10,sequential,F,50,50,1,10,100,11,2.297107696533203,563.8548369407654,67.47799324989319,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,2,7
PyGenProg,middle,2,10,sequential,V,5,5,1,10,11,10,1.5255537033081055,595.9213936328888,73.65827918052673,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,47,10
PyGenProg,middle,2,10,sequential,V,10,10,1,10,11,20,1.5128655433654785,669.2421996593475,70.19316864013672,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,38,10
PyGenProg,middle,2,10,sequential,V,30,30,1,10,11,60,2.0229411125183105,914.2935216426849,142.9303331375122,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,26,10
PyGenProg,middle,2,10,sequential,V,50,50,1,10,11,100,2.169257879257202,976.6188097000122,73.40048360824585,1.0,1.0,1.0,1.0,1.0,14,10
PyGenProg,middle,2,10,sequential,C,5,5,0,0,10,10,1.7051756381988525,701.2823445796967,61.875643491744995,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,38,10
PyGenProg,middle,2,10,sequential,C,10,10,0,0,20,20,1.461225986480713,698.214033126831,68.59563946723938,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,22,10
