approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches,generations
PyGenProg,middle,1,10,sequential,B,0,0,1,1,2,2,2.694117784500122,348.38743710517883,62.933496713638306,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,4
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,1.4694368839263916,193.4002182483673,50.60082411766052,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,2
PyGenProg,middle,1,10,sequential,F,5,5,1,10,10,11,1.1834030151367188,211.45807600021362,48.416077852249146,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,0.8557002544403076,168.50834345817566,50.34932351112366,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,1,10,sequential,F,30,30,1,10,60,11,0.9400594234466553,177.3387062549591,47.79987835884094,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,0.9527394771575928,181.57047629356384,52.20515489578247,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,1,10,sequential,V,5,5,1,10,11,10,0.9837014675140381,414.8318762779236,74.4856219291687,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,35,10
PyGenProg,middle,1,10,sequential,V,10,10,1,10,11,20,1.05104398727417,335.5582950115204,46.34114599227905,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,20,10
PyGenProg,middle,1,10,sequential,V,30,30,1,10,11,60,1.1117186546325684,480.04445719718933,58.644806146621704,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,19,10
PyGenProg,middle,1,10,sequential,V,50,50,1,10,11,100,0.8223469257354736,730.9255523681641,49.56915354728699,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,25,10
PyGenProg,middle,1,10,sequential,C,5,5,0,0,10,10,0.8531434535980225,166.17383670806885,51.95920777320862,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,1,10,sequential,C,10,10,0,0,20,20,1.023524522781372,184.12456560134888,47.648417711257935,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,1,10,sequential,C,30,30,0,0,60,60,0.8735499382019043,200.45770931243896,49.76101899147034,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,1,10,sequential,C,50,50,0,0,100,100,0.7595062255859375,239.8596532344818,55.557260274887085,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,2,10,sequential,B,0,0,1,1,2,2,1.1042399406433105,189.1232385635376,43.44871211051941,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,4
PyGenProg,middle,2,10,sequential,B,0,0,1,10,11,11,0.7333946228027344,139.3131148815155,40.81478977203369,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,4
PyGenProg,middle,2,10,sequential,F,5,5,1,10,10,11,0.7958409786224365,146.60151505470276,48.76803541183472,1.0,1.0,1.0,1.0,1.0,1,4
PyGenProg,middle,2,10,sequential,F,10,10,1,10,20,11,1.0241191387176514,150.64135837554932,41.8558087348938,1.0,1.0,1.0,1.0,1.0,1,4
PyGenProg,middle,2,10,sequential,F,30,30,1,10,60,11,1.0091667175292969,166.12874960899353,44.95998024940491,1.0,1.0,1.0,1.0,1.0,1,4
PyGenProg,middle,2,10,sequential,F,50,50,1,10,100,11,0.7737429141998291,148.4083251953125,45.22008657455444,1.0,1.0,1.0,1.0,1.0,1,4
PyGenProg,middle,2,10,sequential,V,5,5,1,10,11,10,0.7988400459289551,202.72458720207214,46.131978273391724,1.0,1.0,1.0,1.0,1.0,1,4
PyGenProg,middle,2,10,sequential,V,10,10,1,10,11,20,1.6239442825317383,207.96002006530762,43.37089443206787,1.0,1.0,1.0,1.0,1.0,1,5
PyGenProg,middle,2,10,sequential,V,30,30,1,10,11,60,0.870668888092041,270.16282534599304,41.06712317466736,1.0,1.0,1.0,1.0,1.0,1,6
PyGenProg,middle,2,10,sequential,V,50,50,1,10,11,100,0.9848949909210205,293.7032217979431,41.93404507637024,1.0,1.0,1.0,1.0,1.0,1,6
PyGenProg,middle,2,10,sequential,C,5,5,0,0,10,10,0.7803323268890381,157.647607088089,43.82782554626465,1.0,1.0,1.0,1.0,1.0,1,4
PyGenProg,middle,2,10,sequential,C,10,10,0,0,20,20,0.9920411109924316,246.31740474700928,43.70769786834717,1.0,1.0,1.0,1.0,1.0,1,6
PyGenProg,middle,2,10,sequential,C,30,30,0,0,60,60,0.8751480579376221,216.42547869682312,52.065804958343506,1.0,1.0,1.0,1.0,1.0,1,6
PyGenProg,middle,2,10,sequential,C,50,50,0,0,100,100,0.8531043529510498,294.48909044265747,46.74374961853027,1.0,1.0,1.0,1.0,1.0,1,6
PyGenProg,calculator,1,10,sequential,B,0,0,1,1,2,2,1.0796740055084229,463.02903747558594,64.8197386264801,0.09090909090909091,0.0,0.0,0.0,0.5,45,10
PyGenProg,calculator,1,10,sequential,B,0,0,1,10,11,11,0.8753070831298828,295.8492863178253,1599.7751030921936,0.09090909090909091,0.0,0.0,0.0,0.5,29,10
PyGenProg,calculator,1,10,sequential,F,5,5,1,10,10,11,1.026702642440796,296.7746777534485,1581.0704853534698,0.09090909090909091,0.0,0.0,0.0,0.5,29,10
PyGenProg,calculator,1,10,sequential,F,10,10,1,10,20,11,0.9788181781768799,288.16414976119995,1591.5710661411285,0.09090909090909091,0.0,0.0,0.0,0.5,29,10
PyGenProg,calculator,1,10,sequential,F,30,30,1,10,60,11,1.1642429828643799,298.36335277557373,1581.8775177001953,0.09090909090909091,0.0,0.0,0.0,0.5,29,10
PyGenProg,calculator,1,10,sequential,F,50,50,1,10,100,11,0.9329650402069092,291.9599058628082,1594.3620672225952,0.09090909090909091,0.0,0.0,0.0,0.5,29,10
PyGenProg,calculator,1,10,sequential,V,5,5,1,10,11,10,0.9039123058319092,555.6521153450012,1578.8289551734924,0.09090909090909091,0.0,0.0,0.0,0.5,29,10
PyGenProg,calculator,1,10,sequential,V,10,10,1,10,11,20,1.0270578861236572,884.1479756832123,1317.8357911109924,0.09090909090909091,0.0,0.0,0.0,0.5,22,10
PyGenProg,calculator,1,10,sequential,V,30,30,1,10,11,60,0.8742477893829346,2222.604626893997,1580.1865811347961,0.09090909090909091,0.0,0.0,0.0,0.5,29,10
