approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches,generations
PyGenProg,middle,1,10,sequential,B,0,0,1,1,2,2,2.4910032749176025,412.22789096832275,197.05523014068604,0.09090909090909091,0.0,0.0,0.0,0.5,25,10
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,0.9621667861938477,212.86342978477478,65.42552137374878,1.0,1.0,1.0,1.0,1.0,1,5
PyGenProg,middle,1,10,sequential,F,5,5,1,10,10,11,0.8995003700256348,169.60459280014038,49.20884728431702,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,0.8067901134490967,158.09365558624268,52.2284996509552,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,2
PyGenProg,middle,1,10,sequential,F,30,30,1,10,60,11,0.9807610511779785,188.93899154663086,51.99474883079529,1.0,1.0,1.0,1.0,1.0,1,5
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,0.9412391185760498,413.2838592529297,246.79262256622314,0.09090909090909091,0.0,0.0,0.0,0.5,35,10
PyGenProg,middle,1,10,sequential,V,5,5,1,10,11,10,0.8525779247283936,184.3489441871643,48.453535079956055,1.0,1.0,1.0,1.0,1.0,1,5
PyGenProg,middle,1,10,sequential,V,10,10,1,10,11,20,0.7546710968017578,178.19429397583008,48.13584899902344,1.0,1.0,1.0,1.0,1.0,1,5
PyGenProg,middle,1,10,sequential,V,30,30,1,10,11,60,0.7620203495025635,285.74209547042847,46.672017335891724,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,10
PyGenProg,middle,1,10,sequential,V,50,50,1,10,11,100,0.7937238216400146,241.88865733146667,48.451886892318726,1.0,1.0,1.0,1.0,1.0,1,5
PyGenProg,middle,1,10,sequential,C,5,5,0,0,10,10,1.4383211135864258,174.41517663002014,48.182880878448486,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,1,10,sequential,C,10,10,0,0,20,20,0.8148205280303955,395.79419136047363,47.296101570129395,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,32,10
PyGenProg,middle,1,10,sequential,C,30,30,0,0,60,60,1.021681308746338,663.2744681835175,51.26908564567566,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,30,10
PyGenProg,middle,1,10,sequential,C,50,50,0,0,100,100,0.8351011276245117,647.9648458957672,142.52451467514038,0.09090909090909091,0.0,0.0,0.0,0.5,18,10
PyGenProg,middle,2,10,sequential,B,0,0,1,1,2,2,1.2941482067108154,219.811865568161,41.725502490997314,1.0,1.0,1.0,1.0,1.0,1,3
PyGenProg,middle,2,10,sequential,B,0,0,1,10,11,11,0.8387792110443115,200.12498784065247,41.4741907119751,1.0,1.0,1.0,1.0,1.0,1,4
PyGenProg,middle,2,10,sequential,F,5,5,1,10,10,11,0.8337054252624512,137.41571068763733,41.405999422073364,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,2
PyGenProg,middle,2,10,sequential,F,10,10,1,10,20,11,0.8192508220672607,157.24192571640015,45.044538736343384,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,2,10,sequential,F,30,30,1,10,60,11,0.917238712310791,156.35805940628052,46.27894830703735,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,2
PyGenProg,middle,2,10,sequential,F,50,50,1,10,100,11,0.7919070720672607,206.53252148628235,43.1487352848053,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,2
PyGenProg,middle,2,10,sequential,V,5,5,1,10,11,10,0.8839819431304932,186.1299467086792,42.5016872882843,1.0,1.0,1.0,1.0,1.0,1,4
PyGenProg,middle,2,10,sequential,V,10,10,1,10,11,20,0.9719374179840088,202.03925371170044,45.94290065765381,1.0,1.0,1.0,1.0,1.0,1,4
