approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches,generations
PyGenProg,middle,1,10,sequential,B,0,0,1,1,2,2,0.9110262393951416,140.10997438430786,53.796907901763916,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,0.8289034366607666,153.14844918251038,52.444180965423584,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,1,10,sequential,F,5,5,1,10,10,11,0.9142806529998779,148.63605546951294,67.1718761920929,1.0,1.0,1.0,1.0,1.0,2,1
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,0.7683777809143066,140.4017984867096,74.71272873878479,1.0,1.0,1.0,1.0,1.0,2,1
PyGenProg,middle,1,10,sequential,F,30,30,1,10,60,11,0.9456291198730469,226.80131578445435,57.46722602844238,1.0,1.0,1.0,1.0,1.0,1,5
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,0.8342242240905762,349.55116057395935,224.60292673110962,0.09090909090909091,0.0,0.0,0.0,0.5,33,10
PyGenProg,middle,1,10,sequential,V,5,5,1,10,11,10,0.7434735298156738,147.50841736793518,54.22322678565979,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,1,10,sequential,V,10,10,1,10,11,20,3.784489393234253,148.08207893371582,70.51140594482422,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,1,10,sequential,V,30,30,1,10,11,60,0.96347975730896,583.9550039768219,53.99804425239563,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,36,10
PyGenProg,middle,1,10,sequential,V,50,50,1,10,11,100,1.628688097000122,686.3016293048859,58.98010039329529,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,36,10
PyGenProg,middle,1,10,sequential,C,5,5,0,0,10,10,0.76792311668396,147.85491251945496,70.01158666610718,1.0,1.0,1.0,1.0,1.0,2,1
PyGenProg,middle,1,10,sequential,C,10,10,0,0,20,20,0.7621428966522217,152.4985556602478,70.43328714370728,1.0,1.0,1.0,1.0,1.0,2,1
PyGenProg,middle,1,10,sequential,C,30,30,0,0,60,60,0.9952402114868164,314.5931017398834,59.83968901634216,1.0,1.0,1.0,1.0,1.0,1,5
PyGenProg,middle,1,10,sequential,C,50,50,0,0,100,100,0.9319436550140381,833.8755424022675,68.70824694633484,1.0,1.0,1.0,1.0,1.0,31,10
PyGenProg,middle,2,10,sequential,B,0,0,1,1,2,2,0.9595351219177246,163.22906804084778,43.424153327941895,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,3
PyGenProg,middle,2,10,sequential,B,0,0,1,10,11,11,1.002803087234497,236.89258575439453,45.24889135360718,1.0,1.0,1.0,1.0,1.0,1,6
PyGenProg,middle,2,10,sequential,F,5,5,1,10,10,11,0.8450727462768555,148.18648195266724,44.02294564247131,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,2,10,sequential,F,10,10,1,10,20,11,0.8474850654602051,137.64947772026062,40.956117391586304,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,2,10,sequential,F,30,30,1,10,60,11,0.9303054809570312,157.39420557022095,42.52695441246033,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,2,10,sequential,F,50,50,1,10,100,11,0.907386302947998,143.64949774742126,48.039374589920044,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,2,10,sequential,V,5,5,1,10,11,10,0.9648804664611816,236.32420873641968,41.00075435638428,1.0,1.0,1.0,1.0,1.0,1,6
PyGenProg,middle,2,10,sequential,V,10,10,1,10,11,20,0.8364455699920654,254.68662214279175,43.9864227771759,1.0,1.0,1.0,1.0,1.0,1,6
PyGenProg,middle,2,10,sequential,V,30,30,1,10,11,60,0.8391985893249512,247.90455174446106,44.348076820373535,1.0,1.0,1.0,1.0,1.0,1,6
PyGenProg,middle,2,10,sequential,V,50,50,1,10,11,100,0.814192533493042,199.8110282421112,44.04650640487671,1.0,1.0,1.0,1.0,1.0,2,5
PyGenProg,middle,2,10,sequential,C,5,5,0,0,10,10,0.897392749786377,133.87587690353394,50.16774106025696,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,2,10,sequential,C,10,10,0,0,20,20,0.8699603080749512,144.64553117752075,50.7117338180542,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,2,10,sequential,C,30,30,0,0,60,60,1.0617632865905762,155.90215706825256,46.664965867996216,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,2,10,sequential,C,50,50,0,0,100,100,0.9311032295227051,160.51204633712769,46.63245129585266,1.0,1.0,1.0,1.0,1.0,1,2
