approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches,generations
PyGenProg,middle,1,10,sequential,B,0,0,1,1,2,2,0.9230637550354004,200.15847849845886,51.9512939453125,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,8
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,0.8356642723083496,342.8807647228241,57.421425580978394,1.0,1.0,1.0,1.0,1.0,1,10
PyGenProg,middle,1,10,sequential,F,5,5,1,10,10,11,0.8395833969116211,159.10902285575867,54.54598069190979,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,4
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,0.8860588073730469,185.1375653743744,59.91575479507446,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,4
PyGenProg,middle,1,10,sequential,F,30,30,1,10,60,11,1.447965383529663,175.21557927131653,54.90588450431824,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,4
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,0.7971792221069336,171.25566959381104,53.95085597038269,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,4
PyGenProg,middle,1,10,sequential,V,5,5,1,10,11,10,1.4523406028747559,292.50549244880676,54.04741430282593,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,9,10
PyGenProg,middle,1,10,sequential,V,10,10,1,10,11,20,0.8923487663269043,379.0234453678131,54.60116267204285,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,8,10
PyGenProg,middle,1,10,sequential,V,30,30,1,10,11,60,0.8499794006347656,393.4400510787964,56.63302159309387,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,12,10
PyGenProg,middle,1,10,sequential,V,50,50,1,10,11,100,0.8966579437255859,465.012286901474,53.37619924545288,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,12,10
PyGenProg,middle,1,10,sequential,C,5,5,0,0,10,10,0.8399684429168701,204.0417823791504,54.729647636413574,1.0,1.0,1.0,1.0,1.0,1,4
PyGenProg,middle,1,10,sequential,C,10,10,0,0,20,20,0.9328057765960693,207.77159357070923,55.62643480300903,1.0,1.0,1.0,1.0,1.0,1,4
PyGenProg,middle,1,10,sequential,C,30,30,0,0,60,60,1.172281265258789,262.4101119041443,59.4933500289917,1.0,1.0,1.0,1.0,1.0,1,4
PyGenProg,middle,1,10,sequential,C,50,50,0,0,100,100,0.8606486320495605,291.5773551464081,55.9098105430603,1.0,1.0,1.0,1.0,1.0,1,4
PyGenProg,middle,2,10,sequential,B,0,0,1,1,2,2,0.9740109443664551,144.86943769454956,42.07579159736633,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,2,10,sequential,B,0,0,1,10,11,11,0.9164745807647705,190.50098538398743,155.2475106716156,1.0,1.0,1.0,1.0,1.0,1,3
PyGenProg,middle,2,10,sequential,F,5,5,1,10,10,11,0.8681333065032959,139.0715115070343,42.471110820770264,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,middle,2,10,sequential,F,10,10,1,10,20,11,0.8243789672851562,140.42332887649536,49.578630447387695,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,middle,2,10,sequential,F,30,30,1,10,60,11,0.9783856868743896,143.9356906414032,42.390753984451294,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,middle,2,10,sequential,F,50,50,1,10,100,11,0.8565130233764648,153.88031244277954,56.3390953540802,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,middle,2,10,sequential,V,5,5,1,10,11,10,1.0625441074371338,154.66827297210693,47.37426280975342,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,2,10,sequential,V,10,10,1,10,11,20,0.8595535755157471,147.09798336029053,50.97983360290527,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,2,10,sequential,V,30,30,1,10,11,60,0.8994498252868652,152.1872317790985,46.570234060287476,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,2,10,sequential,V,50,50,1,10,11,100,0.9321568012237549,154.07151746749878,47.914814949035645,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,2,10,sequential,C,5,5,0,0,10,10,0.9258477687835693,138.18937730789185,40.0562002658844,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,middle,2,10,sequential,C,10,10,0,0,20,20,0.9416470527648926,136.65553212165833,40.66416358947754,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,middle,2,10,sequential,C,30,30,0,0,60,60,0.8248720169067383,138.73659706115723,42.49585032463074,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,middle,2,10,sequential,C,50,50,0,0,100,100,0.8328578472137451,142.71495127677917,43.37294340133667,1.0,1.0,1.0,1.0,1.0,1,1
PyGenProg,calculator,1,10,sequential,B,0,0,1,1,2,2,1.5777313709259033,147.88873291015625,305.10726976394653,0.09090909090909091,0.0,0.0,0.0,0.5,10,10
PyGenProg,calculator,1,10,sequential,B,0,0,1,10,11,11,1.1803693771362305,175.39579057693481,63.622398853302,0.09090909090909091,0.0,0.0,0.0,0.5,9,10
PyGenProg,calculator,1,10,sequential,F,5,5,1,10,10,11,0.8464128971099854,181.63663840293884,64.79837441444397,0.09090909090909091,0.0,0.0,0.0,0.5,9,10
PyGenProg,calculator,1,10,sequential,F,10,10,1,10,20,11,0.9607033729553223,173.48798608779907,63.162646770477295,0.09090909090909091,0.0,0.0,0.0,0.5,9,10
PyGenProg,calculator,1,10,sequential,F,30,30,1,10,60,11,1.0405738353729248,194.73153567314148,63.89529013633728,0.09090909090909091,0.0,0.0,0.0,0.5,9,10
PyGenProg,calculator,1,10,sequential,F,50,50,1,10,100,11,0.9928317070007324,175.14027333259583,62.84317445755005,0.09090909090909091,0.0,0.0,0.0,0.5,9,10
PyGenProg,calculator,1,10,sequential,V,5,5,1,10,11,10,0.8785121440887451,252.4883689880371,68.96110510826111,0.09090909090909091,0.0,0.0,0.0,0.5,12,10
PyGenProg,calculator,1,10,sequential,V,10,10,1,10,11,20,1.0555579662322998,296.21055793762207,69.91662788391113,0.09090909090909091,0.0,0.0,0.0,0.5,12,10
PyGenProg,calculator,1,10,sequential,V,30,30,1,10,11,60,0.805588960647583,618.9442920684814,70.60005736351013,0.09090909090909091,0.0,0.0,0.0,0.5,9,10
PyGenProg,calculator,1,10,sequential,V,50,50,1,10,11,100,1.091223955154419,932.1835827827454,61.43906593322754,0.09090909090909091,0.0,0.0,0.0,0.5,9,10
PyGenProg,calculator,1,10,sequential,C,5,5,0,0,10,10,0.9097158908843994,262.65326976776123,68.9923300743103,0.09090909090909091,0.0,0.0,0.0,0.5,12,10
PyGenProg,calculator,1,10,sequential,C,10,10,0,0,20,20,0.857428789138794,297.273695230484,68.83181047439575,0.09090909090909091,0.0,0.0,0.0,0.5,12,10
PyGenProg,calculator,1,10,sequential,C,30,30,0,0,60,60,0.9023072719573975,619.5567426681519,63.807405948638916,0.09090909090909091,0.0,0.0,0.0,0.5,9,10
PyGenProg,calculator,1,10,sequential,C,50,50,0,0,100,100,1.0086965560913086,944.0216581821442,63.40265130996704,0.09090909090909091,0.0,0.0,0.0,0.5,9,10
PyGenProg,expression,1,10,sequential,B,0,0,1,1,2,2,1.295914649963379,322.27212285995483,50.791019916534424,0.9454545454545454,1.0,0.94,0.9690721649484536,0.97,1,9
PyGenProg,expression,1,10,sequential,B,0,0,1,10,11,11,0.8476662635803223,269.17687225341797,94.54201316833496,0.09090909090909091,0.0,0.0,0.0,0.5,11,10
PyGenProg,expression,1,10,sequential,F,5,5,1,10,10,11,0.8480720520019531,550.3391575813293,69.6594455242157,0.09090909090909091,0.0,0.0,0.0,0.5,7,10
PyGenProg,expression,1,10,sequential,F,10,10,1,10,20,11,0.7554628849029541,441.7331793308258,77.6093180179596,0.09090909090909091,0.0,0.0,0.0,0.5,11,10
PyGenProg,expression,1,10,sequential,F,30,30,1,10,60,11,0.8863754272460938,144.09633111953735,45.97737526893616,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,expression,1,10,sequential,F,50,50,1,10,100,11,0.8603639602661133,152.0253391265869,44.691763162612915,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,expression,1,10,sequential,V,5,5,1,10,11,10,0.876960039138794,448.93647170066833,166.83907771110535,0.09090909090909091,0.0,0.0,0.0,0.5,30,10
PyGenProg,expression,1,10,sequential,V,10,10,1,10,11,20,0.8610725402832031,634.6231920719147,171.98863291740417,0.09090909090909091,0.0,0.0,0.0,0.5,30,10
PyGenProg,expression,1,10,sequential,V,30,30,1,10,11,60,0.9081683158874512,186.15900874137878,43.29348134994507,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,expression,1,10,sequential,V,50,50,1,10,11,100,0.8690989017486572,381.2030117511749,75.98049592971802,0.09090909090909091,0.0,0.0,0.0,0.5,5,10
PyGenProg,expression,1,10,sequential,C,5,5,0,0,10,10,0.8352851867675781,358.04043912887573,82.69034147262573,0.09090909090909091,0.0,0.0,0.0,0.5,12,10
PyGenProg,expression,1,10,sequential,C,10,10,0,0,20,20,0.8286492824554443,537.5702481269836,105.16391038894653,0.09090909090909091,0.0,0.0,0.0,0.5,17,10
