approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches,generations
PyGenProg,middle,1,10,sequential,B,0,0,1,1,2,2,0.9836034774780273,291.86140060424805,50.31588816642761,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,6
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,0.779698371887207,254.3987011909485,208.90174460411072,0.09090909090909091,0.0,0.0,0.0,0.5,17,10
PyGenProg,middle,1,10,sequential,F,5,5,1,10,10,11,1.1024625301361084,281.6796143054962,230.37452483177185,0.09090909090909091,0.0,0.0,0.0,0.5,17,10
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,0.79681396484375,316.84598779678345,229.72507309913635,0.09090909090909091,0.0,0.0,0.0,0.5,18,10
PyGenProg,middle,1,10,sequential,F,30,30,1,10,60,11,1.222632646560669,335.66722345352173,203.2898244857788,0.09090909090909091,0.0,0.0,0.0,0.5,18,10
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,0.8386085033416748,364.9047677516937,221.71658492088318,0.09090909090909091,0.0,0.0,0.0,0.5,18,10
PyGenProg,middle,1,10,sequential,V,5,5,1,10,11,10,0.7740931510925293,203.09943985939026,153.2179889678955,0.09090909090909091,0.0,0.0,0.0,0.5,13,10
PyGenProg,middle,1,10,sequential,V,10,10,1,10,11,20,0.9093804359436035,245.4547038078308,118.60031509399414,0.09090909090909091,0.0,0.0,0.0,0.5,11,10
PyGenProg,middle,1,10,sequential,V,30,30,1,10,11,60,0.7711172103881836,317.3244342803955,101.87809872627258,0.09090909090909091,0.0,0.0,0.0,0.5,9,10
PyGenProg,middle,1,10,sequential,V,50,50,1,10,11,100,0.9452898502349854,833.0643637180328,53.83699035644531,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,22,10
PyGenProg,middle,1,10,sequential,C,5,5,0,0,10,10,0.7787253856658936,186.85355973243713,157.69212698936462,0.09090909090909091,0.0,0.0,0.0,0.5,13,10
PyGenProg,middle,1,10,sequential,C,10,10,0,0,20,20,0.83066725730896,252.74198746681213,52.68462157249451,1.0,1.0,1.0,1.0,1.0,1,5
PyGenProg,middle,1,10,sequential,C,30,30,0,0,60,60,0.7795708179473877,465.21516513824463,57.46421194076538,1.0,1.0,1.0,1.0,1.0,1,9
PyGenProg,middle,1,10,sequential,C,50,50,0,0,100,100,0.7794907093048096,656.2135500907898,56.11585354804993,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,17,10
PyGenProg,middle,2,10,sequential,B,0,0,1,1,2,2,2.6870317459106445,178.6627767086029,46.89052653312683,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,2
PyGenProg,middle,2,10,sequential,B,0,0,1,10,11,11,0.8536415100097656,254.3156383037567,41.81585335731506,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,5
PyGenProg,middle,2,10,sequential,F,5,5,1,10,10,11,0.7658019065856934,235.0735228061676,40.80021405220032,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,5
PyGenProg,middle,2,10,sequential,F,10,10,1,10,20,11,0.8602900505065918,147.6234486103058,52.27908754348755,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,2,10,sequential,F,30,30,1,10,60,11,0.7762982845306396,138.06539678573608,38.72503447532654,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,2,10,sequential,F,50,50,1,10,100,11,0.8160665035247803,215.77417826652527,41.62725472450256,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,1
PyGenProg,middle,2,10,sequential,V,5,5,1,10,11,10,0.9621787071228027,256.04775381088257,39.120288372039795,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,5
PyGenProg,middle,2,10,sequential,V,10,10,1,10,11,20,0.9681882858276367,263.3581805229187,37.949782848358154,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,2,10
PyGenProg,middle,2,10,sequential,V,30,30,1,10,11,60,0.9664762020111084,408.99711418151855,44.101850271224976,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,39,10
PyGenProg,middle,2,10,sequential,V,50,50,1,10,11,100,0.797245979309082,473.5601589679718,40.25627517700195,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,42,10
PyGenProg,middle,2,10,sequential,C,5,5,0,0,10,10,0.8519363403320312,252.05902791023254,39.29319739341736,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,5
PyGenProg,middle,2,10,sequential,C,10,10,0,0,20,20,0.8959929943084717,124.62479162216187,40.72008538246155,1.0,1.0,1.0,1.0,1.0,2,2
PyGenProg,middle,2,10,sequential,C,30,30,0,0,60,60,0.8545253276824951,141.2704496383667,42.134300231933594,1.0,1.0,1.0,1.0,1.0,2,2
PyGenProg,middle,2,10,sequential,C,50,50,0,0,100,100,0.8944435119628906,136.29320788383484,50.36803603172302,1.0,1.0,1.0,1.0,1.0,2,2
PyGenProg,calculator,1,10,sequential,B,0,0,1,1,2,2,1.092442274093628,194.10811018943787,49.83050775527954,0.09090909090909091,0.0,0.0,0.0,0.5,5,10
PyGenProg,calculator,1,10,sequential,B,0,0,1,10,11,11,0.9301881790161133,184.8597424030304,57.20440196990967,0.09090909090909091,0.0,0.0,0.0,0.5,9,10
PyGenProg,calculator,1,10,sequential,F,5,5,1,10,10,11,0.8950920104980469,187.04092693328857,57.03667497634888,0.09090909090909091,0.0,0.0,0.0,0.5,9,10
PyGenProg,calculator,1,10,sequential,F,10,10,1,10,20,11,0.9209651947021484,201.1421661376953,97.60915684700012,0.09090909090909091,0.0,0.0,0.0,0.5,9,10
PyGenProg,calculator,1,10,sequential,F,30,30,1,10,60,11,0.9323427677154541,191.20131731033325,58.6994571685791,0.09090909090909091,0.0,0.0,0.0,0.5,9,10
PyGenProg,calculator,1,10,sequential,F,50,50,1,10,100,11,0.9395773410797119,231.75029587745667,63.41584873199463,0.09090909090909091,0.0,0.0,0.0,0.5,9,10
PyGenProg,calculator,1,10,sequential,V,5,5,1,10,11,10,0.865441083908081,228.23644590377808,57.500974893569946,0.09090909090909091,0.0,0.0,0.0,0.5,10,10
PyGenProg,calculator,1,10,sequential,V,10,10,1,10,11,20,0.9457473754882812,270.547513961792,58.18976449966431,0.09090909090909091,0.0,0.0,0.0,0.5,10,10
PyGenProg,calculator,1,10,sequential,V,30,30,1,10,11,60,0.9449336528778076,501.7581994533539,58.49647808074951,0.09090909090909091,0.0,0.0,0.0,0.5,9,10
PyGenProg,calculator,1,10,sequential,V,50,50,1,10,11,100,0.8364927768707275,701.6062438488007,56.645992040634155,0.09090909090909091,0.0,0.0,0.0,0.5,9,10
PyGenProg,calculator,1,10,sequential,C,5,5,0,0,10,10,0.926386833190918,227.0890429019928,90.42370438575745,0.09090909090909091,0.0,0.0,0.0,0.5,10,10
PyGenProg,calculator,1,10,sequential,C,10,10,0,0,20,20,0.9526968002319336,294.94956517219543,60.65536093711853,0.09090909090909091,0.0,0.0,0.0,0.5,10,10
PyGenProg,calculator,1,10,sequential,C,30,30,0,0,60,60,1.1843736171722412,497.5013952255249,61.266173124313354,0.09090909090909091,0.0,0.0,0.0,0.5,9,10
PyGenProg,calculator,1,10,sequential,C,50,50,0,0,100,100,0.9228973388671875,722.1886513233185,67.47257661819458,0.09090909090909091,0.0,0.0,0.0,0.5,9,10
PyGenProg,expression,1,10,sequential,B,0,0,1,1,2,2,0.9901831150054932,252.02152299880981,107.11907458305359,0.09090909090909091,0.0,0.0,0.0,0.5,16,10
PyGenProg,expression,1,10,sequential,B,0,0,1,10,11,11,0.7593400478363037,220.60274410247803,77.43117642402649,0.09090909090909091,0.0,0.0,0.0,0.5,7,10
PyGenProg,expression,1,10,sequential,F,5,5,1,10,10,11,0.8707504272460938,244.9730293750763,95.89007759094238,0.09090909090909091,0.0,0.0,0.0,0.5,8,10
PyGenProg,expression,1,10,sequential,F,10,10,1,10,20,11,0.8861725330352783,146.75022196769714,47.81242537498474,1.0,1.0,1.0,1.0,1.0,1,3
PyGenProg,expression,1,10,sequential,F,30,30,1,10,60,11,0.8062567710876465,140.51715660095215,41.513222217559814,1.0,1.0,1.0,1.0,1.0,1,3
PyGenProg,expression,1,10,sequential,F,50,50,1,10,100,11,0.8288354873657227,171.81307911872864,40.90936541557312,1.0,1.0,1.0,1.0,1.0,2,5
PyGenProg,expression,1,10,sequential,V,5,5,1,10,11,10,0.8262417316436768,288.98245573043823,95.34335446357727,0.09090909090909091,0.0,0.0,0.0,0.5,14,10
PyGenProg,expression,1,10,sequential,V,10,10,1,10,11,20,0.8562285900115967,313.5591371059418,83.00834727287292,0.09090909090909091,0.0,0.0,0.0,0.5,16,10
PyGenProg,expression,1,10,sequential,V,30,30,1,10,11,60,0.8680546283721924,325.5008611679077,58.62013506889343,0.09090909090909091,0.0,0.0,0.0,0.5,7,10
PyGenProg,expression,1,10,sequential,V,50,50,1,10,11,100,0.7820401191711426,421.5995500087738,59.92593765258789,0.09090909090909091,0.0,0.0,0.0,0.5,5,10
